#
 0,           UCB_GPM,30,  0.39,  0.06, *                   |                   ,  0.39,  0.47, 3098.03
#
 1,            PI_GPM,30,  0.39,  0.06, *   ------          |                   ,  0.39,  0.57, 3528.32
#
 2,            EI_GPM,20,  0.45,  0.17,     *      -        |                   ,  0.39,  0.63, 1922.26
 2,           UCB_GPM,25,  0.45,  0.06,     *-------        |                   ,  0.39,  0.63, 2311.51
 2,            PI_GPM,25,  0.45,  0.08,     *-------        |                   ,  0.39,  0.57, 2465.53
#
 3,            EI_GPM,25,  0.45,  0.06,     *-------        |                   ,  0.39,  0.59, 2408.91
 3,            EI_GPM,30,  0.45,  0.06,     *-------        |                   ,  0.39,  0.57, 3057.01
#
 4,             LLM++,30,  0.47,  0.04, ---- *---           |                   ,  0.39,  0.54, 652.23
 4,           UCB_GPM,20,  0.49,  0.17,       *    -        |                   ,  0.39,  0.57, 1781.59
 4,           exploit,20,  0.49,  0.00, ------*-----        |                   ,  0.39,  0.64, 9.73
#
 5,           exploit,25,  0.49,  0.07,       *    ------   |                   ,  0.45,  0.69, 6.82
 5,           exploit,30,  0.52,  0.08,      -  *   ------- |                   ,  0.39,  0.69, 4.60
 5,            random,30,  0.53,  0.04,      -   *          |                   ,  0.47,  0.58, 0.00
 5,            random,25,  0.53,  0.12, -----    *  ----    |                   ,  0.39,  0.64, 0.00
 5,            PI_GPM,20,  0.55,  0.18,           * ---     |                   ,  0.39,  0.65, 1887.21
 5,           explore,30,  0.55,  0.10,      ---  *   --    |                   ,  0.39,  0.69, 4.96
#
 6,            random,20,  0.56,  0.04,       ---  *-----   |                   ,  0.45,  0.69, 0.00
 6,           explore,25,  0.56,  0.11,     --     *  ---   |                   ,  0.39,  0.72, 8.62
#
 7,           explore,20,  0.58,  0.08,         --- *   --- |                   ,  0.47,  0.69, 8.94
#
 8,                rrp,9,  0.64,  0.06,            ---- *  -|--                 ,  0.45,  1.00, 0.35
#
 9,         baseline,196,  0.74,  0.11,              ------ |  *   ------------ ,  0.39,  1.00, 0.00
