#
 0,           exploit,20,  0.47,  0.10, *      ---          |                   ,  0.47,  0.71, 8.91
 0,             LLM++,30,  0.49,  0.00, -*------            |                   ,  0.47,  0.62, 588.72
#
 1,            random,25,  0.50,  0.09, - *      --         |                   ,  0.47,  0.67, 0.00
 1,            random,30,  0.53,  0.08, --  *  ---          |                   ,  0.47,  0.64, 0.00
 1,           exploit,25,  0.56,  0.14,       *             |                   ,  0.47,  0.62, 8.67
#
 2,           explore,30,  0.58,  0.10, ----   *    -----   |                   ,  0.47,  0.71, 7.17
#
 3,            random,20,  0.58,  0.08, ---    * -          |                   ,  0.47,  0.63, 0.00
#
 4,           explore,25,  0.59,  0.07,  ----   * ---       |                   ,  0.47,  0.71, 8.99
 4,            EI_GPM,30,  0.60,  0.05,   ----   *-         |                   ,  0.47,  0.63, 3051.34
 4,           explore,20,  0.60,  0.10, -----    *   -------|                   ,  0.47,  0.75, 7.24
 4,            EI_GPM,20,  0.61,  0.04,      ---  *         |                   ,  0.47,  0.63, 1845.98
 4,           UCB_GPM,25,  0.61,  0.03,      ---- *         |                   ,  0.47,  0.64, 2459.14
 4,            PI_GPM,25,  0.61,  0.06,  -----    *         |                   ,  0.47,  0.63, 2427.05
#
 5,            EI_GPM,25,  0.61,  0.06,   ----    *         |                   ,  0.47,  0.63, 2554.71
 5,           UCB_GPM,30,  0.61,  0.01,     ------*         |                   ,  0.50,  0.63, 3051.22
 5,            PI_GPM,30,  0.61,  0.03,    ------ *         |                   ,  0.50,  0.63, 3070.52
 5,           exploit,30,  0.61,  0.08, ----      *         |                   ,  0.47,  0.65, 7.68
#
 6,           UCB_GPM,20,  0.62,  0.03,       --- *         |                   ,  0.53,  0.63, 1839.84
 6,            PI_GPM,20,  0.62,  0.04,    -----  *         |                   ,  0.50,  0.64, 1859.12
#
 7,                rrp,9,  0.72,  0.12,      -------      * |-----------        ,  0.52,  1.00, 0.93
#
 8,         baseline,196,  0.76,  0.13,           --------  |*      ----------- ,  0.47,  1.00, 0.00
