#
 0,            EI_GPM,25,  0.03,  0.00, *                   |                   ,  0.03,  0.03, 0.00
#
 1,           UCB_GPM,30,  0.05,  0.00,  *                  |                   ,  0.05,  0.05, 0.00
#
 2,            PI_GPM,30,  0.05,  0.00,  *                  |                   ,  0.05,  0.05, 0.00
#
 3,             LLM++,30,  0.07,  0.04,  * ----             |                   ,  0.05,  0.20, 367.12
 3,           UCB_GPM,25,  0.08,  0.00,   *                 |                   ,  0.08,  0.08, 0.01
#
 4,            PI_GPM,25,  0.08,  0.00,   *                 |                   ,  0.08,  0.08, 0.00
#
 5,           UCB_GPM,20,  0.09,  0.00,   *                 |                   ,  0.09,  0.09, 0.00
#
 6,            EI_GPM,30,  0.13,  0.00,     *               |                   ,  0.13,  0.13, 0.00
#
 7,            PI_GPM,20,  0.15,  0.00,      *              |                   ,  0.15,  0.15, 0.00
#
 8,            EI_GPM,20,  0.19,  0.00,        *            |                   ,  0.19,  0.19, 0.00
 8,            random,20,  0.20,  0.08,  ----  *----------- |                   ,  0.02,  0.51, 0.00
 8,            random,30,  0.21,  0.18,  --    *  -----     |                   ,  0.05,  0.46, 0.00
 8,           exploit,20,  0.24,  0.23,    ---- *        ---|                   ,  0.03,  0.53, 19.72
 8,           exploit,25,  0.24,  0.30,  ----   *        -  |                   ,  0.02,  0.50, 18.88
 8,            random,25,  0.27,  0.14,       -   *  ------ |                   ,  0.12,  0.54, 0.00
#
 9,           exploit,30,  0.38,  0.33,  ---          *   --|----               ,  0.03,  0.69, 14.53
 9,           explore,20,  0.40,  0.18,      -----     *  --|-                  ,  0.03,  0.70, 14.26
 9,           explore,25,  0.43,  0.25,     ----        * --|                   ,  0.11,  0.52, 16.80
 9,           explore,30,  0.44,  0.13,          -----   *  |------             ,  0.08,  0.81, 14.40
 9,               rrp,12,  0.47,  0.29,        ------     * |   ---------       ,  0.06,  0.91, 11.13
#
10,        baseline,2880,  0.94,  0.05,                     |             -- *- ,  0.61,  1.00, 0.03
