#
 0,            PI_GPM,20,  0.17,  0.00, *                   |                   ,  0.17,  0.17, 0.01
 0,            EI_GPM,20,  0.17,  0.00, *                   |                   ,  0.17,  0.17, 0.01
 0,           explore,20,  0.17,  0.00, *                   |                   ,  0.17,  0.22, 14.88
 0,           UCB_GPM,25,  0.17,  0.00, *                   |                   ,  0.17,  0.17, 0.02
 0,            PI_GPM,25,  0.17,  0.00, *                   |                   ,  0.17,  0.17, 0.00
 0,            EI_GPM,25,  0.17,  0.00, *                   |                   ,  0.17,  0.17, 0.01
 0,           explore,25,  0.17,  0.00, *-                  |                   ,  0.17,  0.46, 13.90
 0,           UCB_GPM,30,  0.17,  0.00, *                   |                   ,  0.17,  0.17, 0.00
 0,            PI_GPM,30,  0.17,  0.00, *                   |                   ,  0.17,  0.17, 0.00
 0,           exploit,30,  0.17,  0.02, *----------         |                   ,  0.17,  0.61, 3.48
 0,           explore,30,  0.17,  0.00, *-                  |                   ,  0.17,  0.22, 3.94
#
 1,           exploit,20,  0.19,  0.02, *-                  |                   ,  0.17,  0.22, 12.90
#
 2,           exploit,25,  0.19,  0.04,  *-------------     |                   ,  0.17,  0.66, 14.76
 2,            EI_GPM,30,  0.19,  0.00,  *                  |                   ,  0.19,  0.19, 0.00
 2,             LLM++,30,  0.19,  0.03,  *                  |                   ,  0.17,  0.49, 324.07
 2,               rrp,11,  0.22,  0.01, --*------------     |                   ,  0.17,  0.68, 5.08
 2,           UCB_GPM,20,  0.22,  0.00,   *                 |                   ,  0.22,  0.22, 0.01
 2,            random,25,  0.22,  0.18, --*        ------   |                   ,  0.17,  0.53, 0.00
 2,            random,30,  0.22,  0.05, - *----------       |                   ,  0.17,  0.51, 0.00
 2,            random,20,  0.23,  0.06, --*  ----------     |                   ,  0.19,  0.57, 0.00
#
 3,        baseline,1023,  0.83,  0.47,    --------------   |           *       ,  0.17,  1.00, 0.00
