#
 0,            PI_GPM,30,  0.05,  0.01, *                   |                   ,  0.05,  0.07, 2077.05
 0,            EI_GPM,25,  0.05,  0.00, *                   |                   ,  0.05,  0.09, 3427.40
 0,           UCB_GPM,30,  0.05,  0.01, *                   |                   ,  0.05,  0.06, 4001.07
 0,            PI_GPM,20,  0.06,  0.00, *                   |                   ,  0.05,  0.34, 2651.82
 0,           UCB_GPM,25,  0.06,  0.01, *                   |                   ,  0.05,  0.07, 3338.74
 0,            EI_GPM,30,  0.06,  0.00, *                   |                   ,  0.05,  0.06, 1639.96
 0,           UCB_GPM,20,  0.06,  0.00, *                   |                   ,  0.05,  0.07, 2644.96
 0,            PI_GPM,25,  0.06,  0.01, *                   |                   ,  0.05,  0.11, 3336.98
 0,             LLM++,30,  0.06,  0.00, *                   |                   ,  0.05,  0.07, 1468.78
 0,            EI_GPM,20,  0.06,  0.01, *--------           |                   ,  0.05,  0.28, 2724.72
 0,           explore,30,  0.06,  0.12, *     ---           |                   ,  0.05,  0.27, 7.34
#
 1,           explore,20,  0.06,  0.03, *-------            |                   ,  0.05,  0.25, 26.60
 1,           exploit,25,  0.06,  0.11, *    ---            |                   ,  0.05,  0.27, 18.71
 1,           exploit,20,  0.07,  0.13, *     --            |                   ,  0.05,  0.27, 27.73
 1,            random,30,  0.07,  0.03, * -----             |                   ,  0.05,  0.24, 0.00
 1,           explore,25,  0.07,  0.04, *-----              |                   ,  0.05,  0.20, 22.89
 1,           exploit,30,  0.07,  0.13,  *    ---           |                   ,  0.05,  0.30, 5.90
#
 2,            random,25,  0.07,  0.03,  *------            |                   ,  0.05,  0.25, 0.00
 2,            random,20,  0.09,  0.05,   *----             |                   ,  0.05,  0.27, 0.00
#
 3,               rrp,12,  0.11,  0.14,  -*     -----       |                   ,  0.07,  0.57, 23.99
#
 4,        baseline,2736,  0.29,  0.11,  -------   * -------|-------            ,  0.05,  0.91, 0.03
