#
 0,           UCB_GPM,30,  0.18,  0.07,   *  -              |                   ,  0.14,  0.32, 3869.85
 0,            PI_GPM,30,  0.18,  0.04, - * -               |                   ,  0.14,  0.24, 1959.07
 0,            PI_GPM,25,  0.19,  0.07,    * -              |                   ,  0.14,  0.33, 3418.71
#
 1,            EI_GPM,25,  0.20,  0.03, --- *-------        |                   ,  0.14,  0.34, 3600.69
 1,            EI_GPM,30,  0.20,  0.03, --  *-              |                   ,  0.14,  0.25, 1572.59
 1,            PI_GPM,20,  0.21,  0.03,   - *---------      |                   ,  0.14,  0.36, 2710.56
#
 2,           explore,30,  0.21,  0.02,  --  *              |                   ,  0.14,  0.25, 5.60
 2,             LLM++,30,  0.21,  0.02,      *              |                   ,  0.19,  0.24, 1558.25
 2,           explore,20,  0.21,  0.02,      *              |                   ,  0.14,  0.24, 25.59
 2,           exploit,20,  0.22,  0.04, ---  *--------------|---                ,  0.14,  0.51, 28.53
 2,           exploit,25,  0.22,  0.02,    - *              |                   ,  0.14,  0.23, 27.12
 2,           exploit,30,  0.22,  0.02,    - *-----         |                   ,  0.18,  0.50, 5.40
 2,           explore,25,  0.22,  0.02,    - *              |                   ,  0.14,  0.25, 24.90
 2,            EI_GPM,20,  0.22,  0.01,    --*              |                   ,  0.18,  0.24, 2763.10
 2,           UCB_GPM,25,  0.22,  0.02,    --*              |                   ,  0.14,  0.25, 3428.09
 2,           UCB_GPM,20,  0.22,  0.02,   ---*              |                   ,  0.15,  0.25, 2735.25
#
 3,            random,30,  0.22,  0.03,     -* -            |                   ,  0.15,  0.34, 0.00
 3,            random,25,  0.23,  0.02,    --*-             |                   ,  0.15,  0.25, 0.00
 3,            random,20,  0.23,  0.02,     --*-----        |                   ,  0.18,  0.35, 0.00
#
 4,               rrp,13,  0.32,  0.12,       -     *  -----|--------           ,  0.22,  0.69, 17.49
#
 5,        baseline,3008,  0.41,  0.31,                   * |              --   ,  0.36,  0.74, 0.00
