#
 0,            EI_GPM,25,  0.31,  0.00, *                   |                   ,  0.31,  0.31, 0.00
#
 1,            PI_GPM,25,  0.31,  0.00, *                   |                   ,  0.31,  0.31, 0.00
#
 2,            EI_GPM,20,  0.31,  0.00, *                   |                   ,  0.31,  0.31, 0.00
#
 3,           UCB_GPM,25,  0.31,  0.00, *                   |                   ,  0.31,  0.31, 0.00
#
 4,           explore,30,  0.32,  0.02, *                   |                   ,  0.31,  0.34, 3.67
 4,           explore,20,  0.32,  0.01, *                   |                   ,  0.31,  0.34, 31.79
#
 5,            EI_GPM,30,  0.32,  0.00, *                   |                   ,  0.32,  0.32, 0.00
#
 6,           exploit,20,  0.32,  0.02, *                   |                   ,  0.31,  0.58, 33.52
 6,           exploit,25,  0.32,  0.01, *                   |                   ,  0.31,  0.33, 13.10
 6,           explore,25,  0.32,  0.01,  *                  |                   ,  0.31,  0.33, 11.05
 6,           UCB_GPM,20,  0.32,  0.00,  *                  |                   ,  0.32,  0.32, 0.00
#
 7,             LLM++,30,  0.32,  0.01,  *                  |                   ,  0.31,  0.34, 800.10
 7,           exploit,30,  0.33,  0.01,  *                  |                   ,  0.31,  0.61, 3.49
#
 8,           UCB_GPM,30,  0.33,  0.00,  *                  |                   ,  0.33,  0.33, 0.00
#
 9,            PI_GPM,30,  0.33,  0.00,  *                  |                   ,  0.33,  0.33, 0.00
#
10,            random,30,  0.33,  0.01, -*                  |                   ,  0.31,  0.35, 0.00
10,               rrp,13,  0.33,  0.02, -*---------------   |                   ,  0.31,  0.90, 47.58
10,            random,25,  0.33,  0.02,  *-                 |                   ,  0.31,  0.37, 0.00
10,            random,20,  0.33,  0.01, -*                  |                   ,  0.31,  0.37, 0.00
10,            PI_GPM,20,  0.33,  0.00,  *                  |                   ,  0.33,  0.33, 0.01
#
11,        baseline,4608,  0.62,  0.34,  ----             * |    -------------  ,  0.31,  0.99, 0.07
