#
 0,             LLM++,30,  0.07,  0.07,     *-              |                   ,  0.00,  0.10, 1343.16
#
 1,            PI_GPM,30,  0.22,  0.00,               *     |                   ,  0.22,  0.22, 0.00
#
 2,           UCB_GPM,25,  0.24,  0.00,                *    |                   ,  0.24,  0.24, 0.00
#
 3,            EI_GPM,25,  0.24,  0.00,                *    |                   ,  0.24,  0.24, 0.00
#
 4,           UCB_GPM,20,  0.25,  0.00,                 *   |                   ,  0.25,  0.25, 0.00
 4,           explore,20,  0.25,  0.02,                 *---|--                 ,  0.04,  0.40, 66.79
 4,            EI_GPM,20,  0.25,  0.00,                 *   |                   ,  0.25,  0.25, 0.00
 4,           explore,30,  0.25,  0.02,               - *---|---                ,  0.21,  0.41, 37.04
#
 5,           explore,25,  0.26,  0.01,                -*---|------             ,  0.22,  0.44, 37.49
#
 6,           exploit,25,  0.27,  0.09,                - *  | ----              ,  0.22,  0.41, 38.74
 6,               rrp,17,  0.27,  0.13,                - *  |    -              ,  0.04,  0.44, 489.13
#
 7,            random,30,  0.32,  0.07,                  -- |*  -----           ,  0.25,  0.44, 0.00
#
 8,            random,25,  0.33,  0.14,                 --  |*     --           ,  0.23,  0.45, 0.00
 8,           exploit,20,  0.35,  0.12,                 -   | *  -----          ,  0.22,  0.47, 146.81
 8,            random,20,  0.35,  0.11,                   --|  *   ----         ,  0.24,  0.49, 0.00
 8,           exploit,30,  0.36,  0.13,                --   |  * -              ,  0.23,  0.47, 38.69
#
 9,            PI_GPM,25,  0.37,  0.00,                     |   *               ,  0.37,  0.37, 0.00
#
10,            PI_GPM,20,  0.38,  0.00,                     |   *               ,  0.38,  0.38, 0.00
#
11,            EI_GPM,30,  0.38,  0.00,                     |   *               ,  0.38,  0.38, 0.00
#
12,           UCB_GPM,30,  0.40,  0.00,                     |     *             ,  0.40,  0.40, 0.00
#
13,       baseline,86058,  0.47,  0.06,                    -|-------   *----    ,  0.04,  0.61, 1.13
