#
 0,           explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 17.89
 0,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.01
 0,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,            PI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,           explore,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2.15
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.01
 0,           explore,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 13.27
 0,            PI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,            EI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,            EI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,           exploit,20,  0.00,  0.01, *-------------      |                   ,  0.00,  0.21, 16.73
#
 1,           exploit,30,  0.00,  0.00, *-------------      |                   ,  0.00,  0.21, 2.52
 1,           exploit,25,  0.00,  0.01, *-------------      |                   ,  0.00,  0.21, 17.61
 1,             LLM++,30,  0.01,  0.01, *                   |                   ,  0.00,  0.03, 601.42
 1,            random,20,  0.01,  0.01, *-                  |                   ,  0.00,  0.05, 0.00
 1,            random,30,  0.01,  0.01, *                   |                   ,  0.00,  0.02, 0.00
#
 2,            random,25,  0.02,  0.01,  *-                 |                   ,  0.00,  0.05, 0.00
 2,            EI_GPM,20,  0.02,  0.00,  *                  |                   ,  0.02,  0.02, 0.00
 2,            PI_GPM,20,  0.02,  0.00,  *                  |                   ,  0.02,  0.02, 0.00
#
 3,               rrp,11,  0.03,  0.01, -*---               |                   ,  0.00,  0.07, 7.20
#
 4,        baseline,1152,  0.07,  0.06,  --  * -------------|-------            ,  0.00,  0.57, 0.00
