#
 0,            EI_GPM,20,  0.18,  0.04, * -----             |                   ,  0.17,  0.34, 2561.48
 0,           UCB_GPM,25,  0.18,  0.05, * --                |                   ,  0.17,  0.33, 3199.01
 0,            EI_GPM,25,  0.18,  0.05, * -                 |                   ,  0.17,  0.24, 3240.11
 0,           UCB_GPM,30,  0.18,  0.05, * ----              |                   ,  0.17,  0.31, 3852.16
 0,            EI_GPM,30,  0.18,  0.04, * ---               |                   ,  0.17,  0.33, 1767.45
 0,            PI_GPM,30,  0.21,  0.05,   *----             |                   ,  0.17,  0.34, 2558.77
 0,             LLM++,30,  0.21,  0.06, - * --              |                   ,  0.17,  0.31, 1396.74
 0,           UCB_GPM,20,  0.21,  0.02, --*                 |                   ,  0.17,  0.29, 2494.68
#
 1,            PI_GPM,20,  0.21,  0.14,   *    -            |                   ,  0.17,  0.35, 2423.84
 1,            PI_GPM,25,  0.21,  0.12,   *   --            |                   ,  0.17,  0.39, 3162.37
#
 2,           exploit,20,  0.24,  0.06,  - * --             |                   ,  0.17,  0.33, 17.66
 2,            random,25,  0.25,  0.04,  --* --             |                   ,  0.17,  0.47, 0.00
 2,            random,30,  0.25,  0.06, --  *---            |                   ,  0.17,  0.36, 0.00
#
 3,           explore,25,  0.26,  0.09,  -  * ------        |                   ,  0.17,  0.46, 15.95
 3,           exploit,30,  0.27,  0.05, ----* --            |                   ,  0.17,  0.39, 5.19
 3,           explore,20,  0.28,  0.09, --   *--            |                   ,  0.17,  0.35, 14.59
#
 4,           explore,30,  0.28,  0.10,   -- *  --          |                   ,  0.17,  0.43, 5.52
 4,           exploit,25,  0.28,  0.07, ---  *--            |                   ,  0.17,  0.36, 16.66
 4,            random,20,  0.29,  0.05,    -- *---          |                   ,  0.18,  0.41, 0.00
#
 5,               rrp,11,  0.42,  0.04,          --* ----   |                   ,  0.23,  0.64, 5.02
#
 6,         baseline,972,  0.48,  0.10,            --  *  --|---                ,  0.28,  1.00, 0.00
