#
 0,           UCB_GPM,25,  0.04,  0.00, *                   |                   ,  0.04,  0.09, 3432.37
 0,            EI_GPM,25,  0.04,  0.00, *                   |                   ,  0.04,  0.08, 3532.83
 0,           UCB_GPM,30,  0.04,  0.00, *                   |                   ,  0.04,  0.09, 3948.79
 0,            EI_GPM,30,  0.04,  0.00, *                   |                   ,  0.04,  0.09, 1573.48
 0,           UCB_GPM,20,  0.04,  0.00, *                   |                   ,  0.04,  0.11, 2677.42
 0,            PI_GPM,25,  0.04,  0.00, *--                 |                   ,  0.04,  0.13, 3374.23
 0,             LLM++,30,  0.04,  0.00, *                   |                   ,  0.04,  0.05, 1431.55
 0,           explore,20,  0.04,  0.01, *---                |                   ,  0.04,  0.11, 34.07
 0,            PI_GPM,30,  0.04,  0.05, *  -                |                   ,  0.04,  0.09, 1957.87
 0,            PI_GPM,20,  0.04,  0.01, *---                |                   ,  0.04,  0.10, 2693.27
 0,            EI_GPM,20,  0.04,  0.01, *                   |                   ,  0.04,  0.10, 2716.46
#
 1,           explore,30,  0.05,  0.02, *---                |                   ,  0.04,  0.11, 7.68
 1,            random,25,  0.05,  0.04, *  -                |                   ,  0.04,  0.12, 0.00
 1,           exploit,30,  0.05,  0.05,  * --               |                   ,  0.04,  0.13, 6.85
 1,           explore,25,  0.05,  0.03,  *--                |                   ,  0.04,  0.10, 31.57
 1,           exploit,20,  0.06,  0.02, -*--                |                   ,  0.04,  0.13, 28.40
 1,            random,20,  0.06,  0.02,  *---               |                   ,  0.04,  0.13, 0.00
#
 2,            random,30,  0.07,  0.04,   *--               |                   ,  0.04,  0.12, 0.00
#
 3,           exploit,25,  0.10,  0.07,     *-              |                   ,  0.04,  0.13, 32.50
#
 4,               rrp,13,  0.12,  0.09, --    * ------------|                   ,  0.04,  0.59, 34.18
#
 5,        baseline,5184,  0.13,  0.04,     - * ---         |                   ,  0.08,  0.27, 0.03
