#
 0,            EI_GPM,30,  0.31,  0.02, *                   |                   ,  0.31,  0.33, 797.39
 0,           explore,25,  0.31,  0.02, *                   |                   ,  0.31,  0.33, 30.62
 0,           UCB_GPM,30,  0.32,  0.01, *                   |                   ,  0.31,  0.33, 2422.55
 0,           explore,30,  0.32,  0.01, *                   |                   ,  0.31,  0.33, 3.28
 0,           exploit,25,  0.32,  0.01, *                   |                   ,  0.31,  0.47, 27.84
 0,           UCB_GPM,25,  0.32,  0.01, *                   |                   ,  0.31,  0.34, 4020.75
 0,            PI_GPM,25,  0.32,  0.01, *                   |                   ,  0.31,  0.33, 4113.28
#
 1,           exploit,30,  0.32,  0.01, *                   |                   ,  0.31,  0.34, 3.83
 1,           UCB_GPM,20,  0.32,  0.01, *                   |                   ,  0.31,  0.34, 3240.05
 1,            EI_GPM,25,  0.32,  0.01, *-                  |                   ,  0.31,  0.34, 4099.83
 1,            PI_GPM,20,  0.32,  0.02,  *                  |                   ,  0.31,  0.58, 3181.06
 1,            EI_GPM,20,  0.32,  0.01,  *                  |                   ,  0.31,  0.34, 3273.44
#
 2,           explore,20,  0.32,  0.01,  *                  |                   ,  0.31,  0.34, 32.91
 2,            random,20,  0.33,  0.01,  *                  |                   ,  0.31,  0.37, 0.00
 2,           exploit,20,  0.33,  0.02,  *-------------     |                   ,  0.31,  0.58, 35.96
 2,            PI_GPM,30,  0.33,  0.00, -*                  |                   ,  0.31,  0.33, 1739.69
#
 3,            random,25,  0.33,  0.00, -*                  |                   ,  0.31,  0.34, 0.00
 3,            random,30,  0.33,  0.01, -*                  |                   ,  0.32,  0.35, 0.00
 3,             LLM++,30,  0.33,  0.01,  *                  |                   ,  0.31,  0.36, 2198.07
#
 4,               rrp,13,  0.40,  0.29,      *            --|                   ,  0.32,  0.66, 45.59
#
 5,        baseline,4608,  0.62,  0.34,  ----             * |    -------------  ,  0.31,  0.99, 0.03
