#
 0,           UCB_GPM,30,  0.20,  0.07, -- * ---            |                   ,  0.13,  0.34, 825.04
 0,            EI_GPM,30,  0.20,  0.04,   -*---             |                   ,  0.16,  0.30, 790.20
 0,            PI_GPM,30,  0.20,  0.03,  - *---             |                   ,  0.14,  0.31, 812.55
 0,            EI_GPM,25,  0.21,  0.04, -- *---             |                   ,  0.13,  0.29, 649.92
#
 1,           UCB_GPM,25,  0.22,  0.03,   - *--             |                   ,  0.13,  0.31, 659.70
 1,            PI_GPM,25,  0.22,  0.06,   - * -             |                   ,  0.13,  0.30, 668.71
 1,            EI_GPM,20,  0.23,  0.07,   - * ---           |                   ,  0.13,  0.34, 518.35
 1,            PI_GPM,20,  0.23,  0.07,   --*  --           |                   ,  0.14,  0.38, 530.58
#
 2,           UCB_GPM,20,  0.24,  0.08, ---  * -            |                   ,  0.13,  0.34, 549.30
 2,             LLM++,30,  0.25,  0.07,      *-             |                   ,  0.14,  0.28, 3730.26
 2,           explore,20,  0.25,  0.04,    - *--            |                   ,  0.14,  0.33, 9.11
 2,           explore,25,  0.25,  0.04,    --* --           |                   ,  0.20,  0.34, 8.96
#
 3,           exploit,20,  0.26,  0.05,     - *--           |                   ,  0.18,  0.45, 9.08
 3,           explore,30,  0.26,  0.05,   --- *--           |                   ,  0.16,  0.41, 7.36
 3,           exploit,30,  0.27,  0.04,     - *--           |                   ,  0.20,  0.39, 7.82
#
 4,           exploit,25,  0.28,  0.07,     - * -           |                   ,  0.14,  0.34, 10.11
 4,            random,30,  0.30,  0.05,     -- *---------   |                   ,  0.18,  0.50, 0.00
#
 5,            random,25,  0.33,  0.11,   ----   * ------   |                   ,  0.18,  0.50, 0.00
 5,            random,20,  0.35,  0.09,       -   *------   |                   ,  0.20,  0.50, 0.00
#
 6,               rrp,14,  0.49,  0.15,          ------ *   | -----             ,  0.28,  1.00, 18.64
#
 7,       baseline,10000,  0.59,  0.13,           ------    |*------------      ,  0.14,  1.00, 0.01
