#
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1798.61
 0,            PI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1829.49
 0,            EI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1867.63
 0,           exploit,20,  0.00,  0.25, *        -          |                   ,  0.00,  0.27, 10.30
 0,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2350.31
 0,            PI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2384.30
 0,            EI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2433.13
 0,           exploit,25,  0.00,  0.25, *        -          |                   ,  0.00,  0.25, 9.39
 0,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.09, 2848.45
 0,            PI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 3168.13
 0,            EI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 3203.19
 0,           exploit,30,  0.00,  0.00, *--------           |                   ,  0.00,  0.25, 6.35
 0,             LLM++,30,  0.00,  0.00, *-------            |                   ,  0.00,  0.31, 413.54
#
 1,           explore,25,  0.10,  0.16,    *  -------       |                   ,  0.00,  0.35, 8.94
 1,           explore,20,  0.16,  0.11, ---   * --          |                   ,  0.00,  0.34, 1.14
#
 2,            random,30,  0.16,  0.19,       *    -        |                   ,  0.00,  0.32, 0.00
 2,           explore,30,  0.16,  0.25,       *  ---        |                   ,  0.00,  0.41, 8.65
 2,            random,25,  0.21,  0.16, ---     * --        |                   ,  0.00,  0.36, 0.00
#
 3,                rrp,9,  0.25,  0.13, -------- *   -----  |                   ,  0.00,  0.50, 0.37
 3,            random,20,  0.25,  0.04,    ----- *---       |                   ,  0.00,  0.34, 0.00
#
 4,         baseline,206,  0.60,  0.24,              ------ |   *    ------     ,  0.00,  1.00, 0.00
