#
 0,             LLM++,30,  0.08,  0.02,    *                |                   ,  0.00,  0.11, 595.56
 0,           exploit,20,  0.09,  0.03,    *--              |                   ,  0.06,  0.33, 12.14
#
 1,            PI_GPM,25,  0.09,  0.02,   -*                |                   ,  0.06,  0.12, 2383.03
 1,           exploit,25,  0.09,  0.02,    *----            |                   ,  0.07,  0.34, 11.16
 1,           explore,25,  0.09,  0.01,   -*-               |                   ,  0.06,  0.13, 13.30
 1,            PI_GPM,20,  0.09,  0.01,    *-               |                   ,  0.07,  0.14, 1779.21
#
 2,            random,30,  0.09,  0.02,    *                |                   ,  0.06,  0.12, 0.00
 2,           exploit,30,  0.09,  0.02, ---*--              |                   ,  0.00,  0.24, 14.20
 2,           UCB_GPM,30,  0.09,  0.03,   -*                |                   ,  0.00,  0.13, 2885.31
 2,            EI_GPM,30,  0.09,  0.02,   -*                |                   ,  0.00,  0.13, 3094.32
 2,           UCB_GPM,25,  0.10,  0.03,    *-               |                   ,  0.06,  0.14, 2367.30
 2,            PI_GPM,30,  0.10,  0.03,   -*-               |                   ,  0.07,  0.15, 3077.48
 2,           UCB_GPM,20,  0.10,  0.02,     *               |                   ,  0.00,  0.15, 1786.38
#
 3,           explore,30,  0.10,  0.04,   - *               |                   ,  0.00,  0.23, 12.84
 3,            random,25,  0.11,  0.03,   - *               |                   ,  0.06,  0.17, 0.00
 3,            EI_GPM,25,  0.11,  0.03,     *               |                   ,  0.06,  0.14, 2447.01
 3,            EI_GPM,20,  0.11,  0.03,     *               |                   ,  0.00,  0.14, 1834.31
#
 4,            random,20,  0.11,  0.03,     *               |                   ,  0.07,  0.15, 0.00
#
 5,           explore,20,  0.13,  0.04,   -- *-             |                   ,  0.00,  0.21, 13.13
#
 6,               rrp,12,  0.16,  0.05,     --* ------------|------------------ ,  0.10,  0.99, 2.61
 6,        baseline,1512,  0.18,  0.09,     -- * ------     |                   ,  0.00,  0.53, 0.00
