#
 0,            PI_GPM,30,  0.01,  0.02, *--------           |                   ,  0.00,  0.32, 2984.67
 0,           UCB_GPM,20,  0.02,  0.04, *-----------        |                   ,  0.00,  0.33, 1826.88
 0,            PI_GPM,25,  0.02,  0.28, *          -        |                   ,  0.00,  0.33, 2415.57
 0,            EI_GPM,25,  0.02,  0.04, *----------         |                   ,  0.01,  0.30, 2470.62
 0,             LLM++,30,  0.02,  0.02, *-                  |                   ,  0.00,  0.23, 884.82
 0,           UCB_GPM,30,  0.02,  0.02, *-----------        |                   ,  0.00,  0.32, 2922.31
 0,           UCB_GPM,25,  0.03,  0.27,  *         -        |                   ,  0.00,  0.33, 2415.74
 0,            EI_GPM,30,  0.03,  0.07,  *---------         |                   ,  0.00,  0.32, 3131.98
 0,            PI_GPM,20,  0.04,  0.27,  *         --       |                   ,  0.01,  0.35, 1880.16
 0,            EI_GPM,20,  0.04,  0.04,  *---------         |                   ,  0.01,  0.31, 1893.03
#
 1,           exploit,30,  0.04,  0.28,  *         --       |                   ,  0.00,  0.38, 13.98
 1,           explore,25,  0.07,  0.28, - *         --      |                   ,  0.00,  0.45, 15.11
#
 2,            random,30,  0.15,  0.26, -    *     ---      |                   ,  0.00,  0.36, 0.00
 2,           explore,20,  0.17,  0.21,  --   *     -       |                   ,  0.00,  0.38, 12.49
 2,           explore,30,  0.18,  0.25, --     *     -      |                   ,  0.00,  0.36, 10.86
#
 3,            random,25,  0.20,  0.25,  -      *   -       |                   ,  0.00,  0.37, 0.00
 3,            random,20,  0.29,  0.23,  --        *-       |                   ,  0.01,  0.36, 0.00
#
 4,           exploit,20,  0.29,  0.30, -          *        |                   ,  0.00,  0.36, 16.62
 4,           exploit,25,  0.30,  0.30,            *--      |                   ,  0.00,  0.40, 15.02
#
 5,               rrp,11,  0.36,  0.05,            -- *-----|                   ,  0.01,  0.60, 3.30
#
 6,        baseline,1080,  0.43,  0.09,             ---  * -|-----              ,  0.00,  1.00, 0.00
