#
 0,             LLM++,30,  0.45,  0.05,   -----  *--        |                   ,  0.33,  0.53, 1120.61
 0,            EI_GPM,25,  0.46,  0.05,   ------ * --       |                   ,  0.33,  0.53, 2993.43
 0,            PI_GPM,25,  0.47,  0.05,       --- *         |                   ,  0.33,  0.51, 2823.10
#
 1,            EI_GPM,20,  0.48,  0.06,        -- *         |                   ,  0.33,  0.56, 2332.21
 1,            EI_GPM,30,  0.48,  0.05,    ------ * -       |                   ,  0.33,  0.52, 1771.28
 1,           UCB_GPM,30,  0.48,  0.03,         -  *        |                   ,  0.36,  0.52, 3434.00
 1,           UCB_GPM,20,  0.49,  0.05,        --  *-       |                   ,  0.33,  0.52, 2300.19
#
 2,           explore,30,  0.49,  0.03,        --- *        |                   ,  0.33,  0.52, 15.88
 2,           UCB_GPM,25,  0.50,  0.03,          -- *       |                   ,  0.34,  0.52, 2903.23
 2,           explore,20,  0.50,  0.02,           - *       |                   ,  0.37,  0.52, 44.50
 2,            random,20,  0.50,  0.03,         --  *       |                   ,  0.41,  0.52, 0.00
 2,            PI_GPM,30,  0.50,  0.02,          -- *       |                   ,  0.41,  0.52, 3282.75
 2,            PI_GPM,20,  0.50,  0.04,          -  *       |                   ,  0.40,  0.54, 2304.79
 2,            random,25,  0.50,  0.02,           - *       |                   ,  0.40,  0.53, 0.00
#
 3,           exploit,20,  0.50,  0.01,           --*       |                   ,  0.42,  0.52, 39.94
 3,            random,30,  0.50,  0.02,           - *       |                   ,  0.45,  0.52, 0.00
 3,           explore,25,  0.51,  0.01,             *       |                   ,  0.45,  0.54, 35.72
 3,           exploit,25,  0.51,  0.01,            -*       |                   ,  0.41,  0.52, 35.73
 3,           exploit,30,  0.51,  0.01,            -*       |                   ,  0.46,  0.53, 13.50
 3,               rrp,14,  0.53,  0.25,             -*      |      -------------,  0.47,  1.00, 47.42
#
