#
 0,               rrp,14,  0.00,  0.00, *-------------------|-------------------,  0.00,  1.00, 45.21
 0,            random,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2278.72
 0,            PI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2229.07
 0,            EI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2325.18
 0,           exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 45.95
 0,           explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 36.14
 0,            random,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2843.95
 0,            PI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2831.49
 0,            EI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2915.41
 0,           exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 35.86
 0,           explore,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 36.79
 0,             LLM++,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1122.38
#
 1,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
#
 2,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 3547.84
#
 3,            PI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 3391.48
#
 4,            EI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1758.07
#
 5,           exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 14.63
#
 6,           explore,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 15.12
#
#
