#
 0,           UCB_GPM,20,  0.44,  0.03,           --*---    |                   ,  0.19,  0.53, 1899.13
 0,            EI_GPM,20,  0.44,  0.02, ------------*---    |                   ,  0.19,  0.55, 1933.55
 0,           UCB_GPM,25,  0.44,  0.00, ------------*---    |                   ,  0.19,  0.53, 2455.51
 0,            PI_GPM,25,  0.44,  0.00,     --------*---    |                   ,  0.19,  0.53, 2470.78
 0,            EI_GPM,25,  0.44,  0.00,             *---    |                   ,  0.19,  0.53, 2531.52
 0,           UCB_GPM,30,  0.44,  0.02, ----------  *       |                   ,  0.19,  0.53, 3015.71
 0,            PI_GPM,30,  0.44,  0.00, ------------*       |                   ,  0.19,  0.53, 3051.77
 0,            EI_GPM,30,  0.44,  0.00, ------------*---    |                   ,  0.19,  0.53, 3020.29
 0,            random,30,  0.44,  0.04,     ------  *----   |                   ,  0.19,  0.59, 0.00
 0,           explore,25,  0.44,  0.03,     ------- *-      |                   ,  0.19,  0.53, 17.07
 0,           explore,20,  0.44,  0.06,           - * ---   |                   ,  0.19,  0.55, 15.56
 0,           exploit,20,  0.45,  0.03,            -*-      |                   ,  0.19,  0.53, 17.78
 0,            PI_GPM,20,  0.45,  0.03,            -*---    |                   ,  0.19,  0.55, 1927.40
 0,           explore,30,  0.45,  0.04,     ------- *---    |                   ,  0.29,  0.55, 12.09
 0,            random,20,  0.46,  0.04,              *------|                   ,  0.19,  0.69, 0.00
 0,           exploit,30,  0.46,  0.05,     -------- *------|                   ,  0.19,  0.68, 14.69
 0,             LLM++,30,  0.46,  0.19, ----         *      |                   ,  0.19,  0.48, 1543.80
 0,            random,25,  0.47,  0.04,            - *------|                   ,  0.29,  0.64, 0.00
 0,           exploit,25,  0.48,  0.05,     --------  *---  |                   ,  0.19,  0.59, 18.03
#
 1,               rrp,10,  0.68,  0.11,               ------|   *  -------------,  0.44,  1.00, 4.22
#
 2,         baseline,500,  0.76,  0.21,                   --|--     *    -------,  0.19,  1.00, 0.00
