#
 0,             LLM++,30,  0.59,  0.01,     *------         |                   ,  0.57,  0.64, 1753.59
#
 1,           UCB_GPM,20,  0.64,  0.07,       *             |                   ,  0.64,  0.71, 542.02
 1,            PI_GPM,20,  0.64,  0.07,       *             |                   ,  0.57,  0.71, 556.03
 1,           UCB_GPM,25,  0.64,  0.07,       *             |                   ,  0.64,  0.71, 619.03
 1,            PI_GPM,25,  0.64,  0.00,       *------       |                   ,  0.64,  0.71, 747.64
 1,            EI_GPM,25,  0.64,  0.07,       *             |                   ,  0.64,  0.71, 766.58
 1,           UCB_GPM,30,  0.64,  0.00,       *             |                   ,  0.64,  0.64, 942.94
 1,            PI_GPM,30,  0.64,  0.00,       *             |                   ,  0.64,  0.71, 916.41
 1,            EI_GPM,30,  0.64,  0.00,       *             |                   ,  0.64,  0.71, 558.11
#
 2,            EI_GPM,20,  0.65,  0.07,        *            |                   ,  0.64,  0.77, 558.38
 2,           exploit,20,  0.65,  0.01, ------ *---         |                   ,  0.57,  0.69, 2.74
 2,           exploit,25,  0.65,  0.01, ------ *---         |                   ,  0.57,  0.71, 3.47
#
 3,           exploit,30,  0.65,  0.01, ------ *-----       |                   ,  0.57,  0.71, 1.68
#
 4,           explore,20,  0.71,  0.00,        ------*      |                   ,  0.64,  0.71, 2.62
#
 5,           explore,25,  0.71,  0.06,       -      *      |                   ,  0.57,  0.71, 4.71
#
 6,           explore,30,  0.71,  0.07, ------       *      |                   ,  0.57,  0.71, 1.69
#
 7,            random,25,  0.81,  0.08,        -------------|-*      ----       ,  0.64,  0.93, 0.00
 7,            random,30,  0.81,  0.09,        ----------   | *  ------         ,  0.64,  0.93, 0.00
#
 8,                rrp,8,  0.85,  0.13, ------------------- |    *     -------  ,  0.57,  0.99, 0.19
#
 9,            random,20,  0.92,  0.03,       --------------|---------  *----   ,  0.64,  0.98, 0.00
#
 10,          baseline,93,  0.96,  0.08,                   --|---------      * - ,  0.57,  1.00, 0.00
