#
 0,            EI_GPM,20,  0.19,  0.00, *                   |                   ,  0.19,  0.19, 0.00
#
 1,           UCB_GPM,30,  0.19,  0.00, *                   |                   ,  0.19,  0.19, 0.02
#
 2,            PI_GPM,30,  0.19,  0.00, *                   |                   ,  0.19,  0.19, 0.00
#
 3,           explore,30,  0.43,  0.03,     ------ *--      |                   ,  0.19,  0.53, 12.76
#
 4,           UCB_GPM,20,  0.44,  0.00,             *       |                   ,  0.44,  0.44, 0.06
#
 5,            PI_GPM,20,  0.44,  0.00,             *       |                   ,  0.44,  0.44, 0.00
#
 6,            EI_GPM,25,  0.44,  0.00,             *       |                   ,  0.44,  0.44, 0.00
 6,            EI_GPM,30,  0.44,  0.00,             *       |                   ,  0.44,  0.44, 0.00
 6,           exploit,30,  0.44,  0.06,     ------- * --    |                   ,  0.29,  0.59, 15.17
 6,           exploit,25,  0.45,  0.03,     ------- *----   |                   ,  0.19,  0.63, 18.00
#
 7,            random,30,  0.45,  0.03,           --*-------|-----              ,  0.19,  0.76, 0.00
 7,           explore,20,  0.46,  0.05,           -- *---   |                   ,  0.29,  0.65, 14.91
 7,           exploit,20,  0.46,  0.03,            - *      |                   ,  0.19,  0.59, 16.56
#
 8,            random,25,  0.46,  0.04,              *----- |                   ,  0.41,  0.61, 0.00
 8,           explore,25,  0.46,  0.03,              *---   |                   ,  0.29,  0.55, 20.49
 8,           UCB_GPM,25,  0.48,  0.00,               *     |                   ,  0.48,  0.48, 0.03
 8,             LLM++,30,  0.48,  0.19, ----          *     |                   ,  0.19,  0.48, 461.37
#
 9,            random,20,  0.48,  0.08,               *  ---|-                  ,  0.44,  0.66, 0.00
#
10,            PI_GPM,25,  0.53,  0.00,                 *   |                   ,  0.53,  0.53, 0.00
#
11,               rrp,10,  0.59,  0.10,             ----   *|------------       ,  0.41,  0.88, 3.79
#
12,         baseline,500,  0.76,  0.21,                   --|--     *    -------,  0.19,  1.00, 0.00
