#
 0,            PI_GPM,30,  0.05,  0.00, *                   |                   ,  0.05,  0.05, 0.00
#
 1,            PI_GPM,20,  0.08,  0.00,  *                  |                   ,  0.08,  0.08, 0.00
#
 2,           exploit,20,  0.11,  0.04,   *----             |                   ,  0.05,  0.24, 16.20
 2,           explore,20,  0.11,  0.04, - *----             |                   ,  0.05,  0.30, 14.23
#
 3,           exploit,25,  0.13,  0.04,  - *--              |                   ,  0.05,  0.20, 19.82
 3,           exploit,30,  0.13,  0.04, -- *-               |                   ,  0.05,  0.27, 14.94
#
 4,             LLM++,30,  0.13,  0.01,  - *                |                   ,  0.05,  0.16, 464.97
 4,           explore,25,  0.13,  0.02,  --*--              |                   ,  0.05,  0.24, 15.17
#
 5,           UCB_GPM,30,  0.14,  0.00,    *                |                   ,  0.14,  0.14, 0.00
#
 6,           explore,30,  0.14,  0.04, -- *-               |                   ,  0.05,  0.19, 14.54
#
 7,            random,30,  0.16,  0.02,    -*---            |                   ,  0.05,  0.27, 0.00
#
 8,           UCB_GPM,20,  0.17,  0.00,      *              |                   ,  0.17,  0.17, 0.05
#
 9,            EI_GPM,20,  0.17,  0.00,      *              |                   ,  0.17,  0.17, 0.00
#
10,           UCB_GPM,25,  0.17,  0.00,      *              |                   ,  0.17,  0.17, 0.05
10,            PI_GPM,25,  0.17,  0.00,      *              |                   ,  0.17,  0.17, 0.00
10,            EI_GPM,25,  0.17,  0.00,      *              |                   ,  0.17,  0.17, 0.00
10,            EI_GPM,30,  0.17,  0.00,      *              |                   ,  0.17,  0.17, 0.02
10,            random,25,  0.18,  0.05,  --- *---           |                   ,  0.05,  0.32, 0.00
10,            random,20,  0.20,  0.08,   -   *-            |                   ,  0.05,  0.28, 0.00
#
11,               rrp,10,  0.27,  0.12,     ---  * ---------|                   ,  0.05,  0.67, 2.58
#
12,         baseline,500,  0.50,  0.31,       ------       *|    -------        ,  0.05,  1.00, 0.00
