#
 0,             LLM++,30,  0.01,  0.00,  *                  |                   ,  0.01,  0.01, 440.76
#
 1,           UCB_GPM,30,  0.01,  0.00,  *                  |                   ,  0.01,  0.01, 0.01
#
 2,            EI_GPM,20,  0.01,  0.00,  *                  |                   ,  0.01,  0.01, 0.00
#
 3,            PI_GPM,25,  0.01,  0.00,  *                  |                   ,  0.01,  0.01, 0.00
#
 4,            EI_GPM,25,  0.01,  0.00,  *                  |                   ,  0.01,  0.01, 0.04
#
 5,            PI_GPM,30,  0.01,  0.00,  *                  |                   ,  0.01,  0.01, 0.00
#
 6,           UCB_GPM,25,  0.01,  0.00,  *                  |                   ,  0.01,  0.01, 0.00
#
 7,            EI_GPM,30,  0.01,  0.00,  *                  |                   ,  0.01,  0.01, 0.00
#
 8,           UCB_GPM,20,  0.01,  0.00,  *                  |                   ,  0.01,  0.01, 0.00
#
 9,            PI_GPM,20,  0.02,  0.00,  *                  |                   ,  0.02,  0.02, 0.00
#
10,               rrp,12,  0.02,  0.00,  *                  |                   ,  0.01,  0.02, 15.57
10,            random,30,  0.02,  0.00,  *                  |                   ,  0.00,  0.02, 0.00
10,           exploit,25,  0.02,  0.00,  *--                |                   ,  0.01,  0.09, 18.74
#
11,           exploit,20,  0.02,  0.01,  *---               |                   ,  0.01,  0.05, 15.68
11,           exploit,30,  0.02,  0.00,  *----              |                   ,  0.01,  0.07, 10.29
11,            random,25,  0.02,  0.00,  *                  |                   ,  0.01,  0.02, 0.00
11,            random,20,  0.02,  0.00,  *                  |                   ,  0.01,  0.03, 0.00
#
12,           explore,30,  0.02,  0.03,   * -               |                   ,  0.02,  0.06, 6.87
12,           explore,20,  0.02,  0.03,  -*  -----          |                   ,  0.01,  0.11, 18.24
12,           explore,25,  0.03,  0.03,  - * -              |                   ,  0.01,  0.08, 21.79
#
13,        baseline,2866,  0.06,  0.14,  ---  *            -|---------          ,  0.01,  0.37, 0.00
