#
 0,           exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 6.36
 0,           explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.06, 5.45
 0,           exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 8.85
 0,           explore,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 8.48
 0,           exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.05, 8.31
 0,           explore,30,  0.00,  0.00, *-                  |                   ,  0.00,  0.07, 8.39
 0,             LLM++,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 580.01
#
 1,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 3063.35
 1,            PI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1821.73
 1,            PI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 2586.47
 1,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 1,            PI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 3011.12
 1,            EI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 3156.00
 1,            random,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 0.00
 1,            random,25,  0.00,  0.00, *                   |                   ,  0.00,  0.06, 0.00
 1,            EI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 2445.18
 1,           UCB_GPM,20,  0.00,  0.01, *                   |                   ,  0.00,  0.06, 1802.41
#
 2,            EI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 1856.51
 2,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 2353.23
 2,                rrp,9,  0.01,  0.01, *--------           |                   ,  0.00,  0.27, 0.98
#
 3,         baseline,196,  0.25,  0.13, --------  *  ------ |                   ,  0.00,  1.00, 0.04
