#
 0,           explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.05, 9.38
 0,           exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 6.32
 0,           exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 8.17
 0,             LLM++,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 591.12
#
 1,           exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 8.35
 1,           explore,25,  0.00,  0.00, *-                  |                   ,  0.00,  0.10, 8.32
 1,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 2879.62
 1,            PI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 3089.91
#
 2,           explore,30,  0.00,  0.00, *                   |                   ,  0.00,  0.05, 6.90
 2,            EI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 2554.36
 2,            EI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 3158.67
#
 3,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 2400.93
 3,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 0.00
 3,            random,20,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 0.00
 3,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 1812.84
 3,            PI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 1850.37
#
 4,            random,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 0.00
#
 5,            PI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 2494.31
 5,            EI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 1887.36
 5,                rrp,9,  0.02,  0.05, * ------------      |                   ,  0.00,  0.64, 0.55
#
 6,         baseline,196,  0.26,  0.13, --------  *  -----  |                   ,  0.00,  1.00, 0.00
