#
 0,           UCB_GPM,25,  0.04,  0.03, -*--                |                   ,  0.01,  0.14, 642.02
 0,           UCB_GPM,30,  0.05,  0.03, -*-                 |                   ,  0.00,  0.09, 825.05
 0,            PI_GPM,25,  0.05,  0.02,   *-                |                   ,  0.00,  0.16, 665.32
 0,            PI_GPM,30,  0.05,  0.02, - *                 |                   ,  0.01,  0.11, 827.65
 0,            EI_GPM,30,  0.05,  0.04, - *-                |                   ,  0.01,  0.11, 797.39
 0,             LLM++,30,  0.05,  0.00,   *                 |                   ,  0.05,  0.12, 3734.48
 0,            EI_GPM,25,  0.06,  0.04,   *                 |                   ,  0.01,  0.12, 682.16
#
 1,           explore,20,  0.07,  0.06,   * --              |                   ,  0.01,  0.22, 9.41
 1,            EI_GPM,20,  0.07,  0.03,  -*-                |                   ,  0.01,  0.11, 502.85
 1,            PI_GPM,20,  0.08,  0.05,  - *                |                   ,  0.04,  0.15, 538.89
 1,           UCB_GPM,20,  0.08,  0.05,  - *----            |                   ,  0.00,  0.23, 519.26
#
 2,           explore,30,  0.09,  0.05,    *---             |                   ,  0.00,  0.22, 7.43
#
 3,           exploit,30,  0.09,  0.07,   -*  ---           |                   ,  0.00,  0.24, 7.57
 3,           explore,25,  0.10,  0.03,  -- *               |                   ,  0.00,  0.16, 12.00
 3,           exploit,25,  0.11,  0.07,   - * ----          |                   ,  0.07,  0.26, 8.89
#
 4,            random,30,  0.12,  0.08,     * --            |                   ,  0.05,  0.23, 0.00
 4,           exploit,20,  0.13,  0.09,  --  * -            |                   ,  0.02,  0.27, 10.43
#
 5,            random,25,  0.16,  0.09,       *  --         |                   ,  0.01,  0.30, 0.00
 5,            random,20,  0.17,  0.10,    -  * --          |                   ,  0.05,  0.28, 0.00
#
 6,               rrp,14,  0.25,  0.14,      --- *    ---   |                   ,  0.04,  0.48, 19.14
#
 7,       baseline,10000,  0.44,  0.16,          -----   *  |-----              ,  0.03,  1.00, 0.01
