#
 0,            PI_GPM,25,  0.01,  0.01, *-------------------|-------            ,  0.01,  0.72, 794.11
#
 1,           UCB_GPM,30,  0.02,  0.28, *          ---------|-------            ,  0.01,  0.70, 604.33
#
 2,            EI_GPM,30,  0.02,  0.01, *-------------------|-------            ,  0.01,  0.72, 511.57
#
 3,            EI_GPM,25,  0.02,  0.28, *          ---------|-------            ,  0.01,  0.70, 742.66
 3,            random,30,  0.29,  0.28,            *--------|-------            ,  0.01,  0.72, 0.00
 3,           UCB_GPM,25,  0.29,  0.69,            *        |       -           ,  0.01,  0.72, 757.32
 3,           exploit,30,  0.29,  0.69,            *        |       -           ,  0.01,  0.75, 22.35
 3,           UCB_GPM,20,  0.29,  0.28,            *--------|-------            ,  0.01,  0.77, 590.23
 3,            PI_GPM,30,  0.29,  0.41, -----------*        |                   ,  0.01,  0.72, 528.31
 3,            EI_GPM,20,  0.29,  0.28,            *--------|-------            ,  0.01,  0.71, 652.60
#
 4,           explore,30,  0.29,  0.67,            *        |       --          ,  0.01,  0.89, 23.18
#
 5,            random,25,  0.29,  0.67,            *        |       -           ,  0.01,  0.72, 0.00
#
 6,            PI_GPM,20,  0.29,  0.41, -----------*        |       -           ,  0.01,  0.75, 613.60
 6,           explore,20,  0.30,  0.40, -----------*        |                   ,  0.01,  0.71, 29.73
#
 7,             LLM++,30,  0.30,  0.69,            *        |       -           ,  0.01,  0.72, 2564.38
 7,            random,20,  0.30,  0.40, -----------*        |       -           ,  0.01,  0.76, 0.00
 7,           exploit,25,  0.70,  0.69,                     |       *           ,  0.01,  0.73, 25.19
 7,           exploit,20,  0.70,  0.44, -----------         |       *-------    ,  0.01,  0.89, 26.72
 7,           explore,25,  0.71,  0.43, -----------         |       *-------    ,  0.01,  0.89, 23.49
#
 8,               rrp,17,  0.77,  0.16,                     |       -  *    --- ,  0.29,  0.98, 78.80
#
 9,       baseline,68640,  0.97,  0.00,                     |            ------*,  0.80,  0.98, 0.09
