#
 0,             LLM++,30,  0.13,  0.00,  *                  |                   ,  0.13,  0.13, 1421.91
#
 1,            EI_GPM,30,  0.26,  0.00,            *        |                   ,  0.26,  0.26, 0.00
#
 2,            PI_GPM,30,  0.27,  0.00,            *        |                   ,  0.27,  0.27, 0.00
#
 3,            EI_GPM,20,  0.28,  0.00,             *       |                   ,  0.28,  0.28, 0.00
#
 4,            PI_GPM,20,  0.31,  0.00,               *     |                   ,  0.31,  0.31, 0.00
#
 5,           explore,30,  0.31,  0.07,         ----  *  ---|                   ,  0.22,  0.40, 27.34
 5,           explore,25,  0.32,  0.09,         ----   *  --|--                 ,  0.17,  0.45, 27.08
 5,            EI_GPM,25,  0.33,  0.00,                *    |                   ,  0.33,  0.33, 0.00
 5,           explore,20,  0.33,  0.04,           ----  *---|-                  ,  0.21,  0.43, 70.22
 5,           exploit,30,  0.34,  0.10,         ----    *  -|-                  ,  0.22,  0.54, 27.15
#
 6,           exploit,25,  0.34,  0.04,          -----  *---|                   ,  0.23,  0.44, 26.95
 6,           UCB_GPM,25,  0.34,  0.00,                 *   |                   ,  0.34,  0.34, 0.00
#
 7,           UCB_GPM,30,  0.35,  0.00,                 *   |                   ,  0.35,  0.35, 0.00
 7,           UCB_GPM,20,  0.36,  0.00,                  *  |                   ,  0.36,  0.36, 0.00
 7,           exploit,20,  0.36,  0.09,            ----   * |-----              ,  0.22,  0.49, 110.24
 7,            random,20,  0.37,  0.07,            ----   * |----               ,  0.21,  0.49, 0.00
 7,            random,25,  0.38,  0.08,              ---   *| -                 ,  0.15,  0.52, 0.00
 7,            random,30,  0.39,  0.07,                -    *---                ,  0.24,  0.50, 0.00
#
 8,               rrp,17,  0.40,  0.08,              ------ *   -               ,  0.22,  0.55, 507.96
 8,            PI_GPM,25,  0.43,  0.00,                     | *                 ,  0.43,  0.43, 0.00
 8,       baseline,65536,  0.44,  0.10,               ----- |  *  ----          ,  0.10,  0.68, 1.06
