#
 0,            EI_GPM,30,  0.36,  0.00,     *               |                   ,  0.36,  0.36, 0.00
#
 1,             LLM++,30,  0.38,  0.00,     --*             |                   ,  0.36,  0.38, 4184.25
#
 2,           UCB_GPM,30,  0.39,  0.00,       *             |                   ,  0.39,  0.39, 0.00
#
 3,            EI_GPM,25,  0.40,  0.00,        *            |                   ,  0.40,  0.40, 0.00
#
 4,            PI_GPM,20,  0.40,  0.00,        *            |                   ,  0.40,  0.40, 0.00
#
 5,           explore,30,  0.43,  0.06,     ---- * ------   |                   ,  0.33,  0.56, 37.66
 5,           explore,25,  0.43,  0.05,     ---  *--        |                   ,  0.34,  0.50, 36.52
#
 6,           UCB_GPM,20,  0.44,  0.00,          *          |                   ,  0.44,  0.44, 0.00
#
 7,               rrp,18,  0.44,  0.03,       --- *-------  |                   ,  0.34,  0.67, 135.96
 7,           UCB_GPM,25,  0.45,  0.00,           *         |                   ,  0.45,  0.45, 0.00
#
 8,           explore,20,  0.45,  0.05,        -- * ------  |                   ,  0.34,  0.58, 34.64
 8,            random,25,  0.46,  0.05,        --- * ------ |                   ,  0.38,  0.59, 0.00
 8,           exploit,30,  0.46,  0.08,     ---    *--      |                   ,  0.33,  0.61, 37.49
#
 9,            PI_GPM,25,  0.47,  0.00,            *        |                   ,  0.47,  0.47, 0.00
 9,           exploit,20,  0.48,  0.07,        ---  * ---   |                   ,  0.31,  0.55, 34.27
#
10,            EI_GPM,20,  0.49,  0.00,             *       |                   ,  0.49,  0.49, 0.00
#
11,           exploit,25,  0.50,  0.07,          --  * ---  |                   ,  0.38,  0.57, 34.97
11,            random,20,  0.50,  0.09,           -   *  -- |                   ,  0.43,  0.60, 0.00
11,            random,30,  0.52,  0.09,    ------      *--- |                   ,  0.29,  0.61, 0.00
#
12,      baseline,100000,  0.61,  0.11,              ----   |*   -----          ,  0.32,  0.89, 0.12
