#
 0,            PI_GPM,30,  0.17,  0.14,   -    *  ---       |                   ,  0.01,  0.37, 542.61
 0,           UCB_GPM,30,  0.21,  0.17,   -      *----      |                   ,  0.00,  0.39, 629.34
 0,             LLM++,30,  0.23,  0.02,       --- *         |                   ,  0.06,  0.29, 3229.69
#
 1,            PI_GPM,25,  0.25,  0.16,   -----   *   ---   |                   ,  0.04,  0.42, 865.55
 1,            EI_GPM,20,  0.27,  0.12,     ----   * -------|                   ,  0.08,  0.49, 692.52
 1,           explore,20,  0.28,  0.09,      ----  * --     |                   ,  0.09,  0.37, 38.29
 1,            EI_GPM,25,  0.28,  0.13,    ------  *  --    |                   ,  0.00,  0.60, 697.77
 1,           exploit,20,  0.28,  0.13,     ------  *   --  |                   ,  0.06,  0.44, 31.83
 1,            EI_GPM,30,  0.28,  0.18,     --      * ----- |                   ,  0.09,  0.50, 517.18
 1,           UCB_GPM,20,  0.28,  0.09,   --------  * ----  |                   ,  0.01,  0.54, 622.01
 1,           explore,25,  0.29,  0.11,       ----  * ----  |                   ,  0.05,  0.50, 29.65
 1,           UCB_GPM,25,  0.30,  0.10,      ----   *--     |                   ,  0.12,  0.55, 857.19
#
 2,           exploit,30,  0.31,  0.10,         ---  * -----|------             ,  0.06,  0.68, 25.58
 2,           explore,30,  0.32,  0.19,      ----    *   ---|                   ,  0.08,  0.65, 26.32
 2,            PI_GPM,20,  0.33,  0.16,     ------   *   ---|---------          ,  0.00,  0.75, 696.36
 2,            random,25,  0.35,  0.14,        -----  *  ---|                   ,  0.05,  0.54, 0.00
 2,           exploit,25,  0.35,  0.12,          ---   * ---|-----              ,  0.01,  0.68, 28.73
 2,            random,20,  0.38,  0.19,         ----   *    |-------            ,  0.10,  0.77, 0.00
#
 3,            random,30,  0.39,  0.10,             -   * --|-                  ,  0.09,  0.60, 0.00
#
 4,       baseline,86058,  0.69,  0.17,                -----|----    *  ----    ,  0.00,  0.94, 0.10
 4,               rrp,17,  0.71,  0.18,                   --|-----    *   ---   ,  0.29,  0.91, 53.03
