#
 0,           UCB_GPM,30,  0.01,  0.02, *--                 |                   ,  0.00,  0.09, 599.24
 0,             LLM++,30,  0.01,  0.02, *---------          |                   ,  0.00,  0.36, 3545.65
#
 1,            PI_GPM,30,  0.02,  0.10, *   --              |                   ,  0.00,  0.18, 606.71
 1,           UCB_GPM,25,  0.05,  0.07,   *--               |                   ,  0.00,  0.17, 476.96
 1,            EI_GPM,25,  0.05,  0.08,   *------           |                   ,  0.00,  0.26, 481.76
 1,            EI_GPM,30,  0.06,  0.07,   *-                |                   ,  0.00,  0.16, 621.80
 1,            PI_GPM,20,  0.08,  0.13, -  *  -             |                   ,  0.00,  0.19, 335.40
 1,            PI_GPM,25,  0.08,  0.06, -  *------          |                   ,  0.00,  0.30, 493.76
 1,           UCB_GPM,20,  0.08,  0.08,    *---             |                   ,  0.00,  0.21, 254.86
 1,            EI_GPM,20,  0.08,  0.08,    *---             |                   ,  0.00,  0.25, 360.46
 1,           exploit,30,  0.10,  0.84, -  *                |             --    ,  0.00,  0.93, 3.58
#
 2,           exploit,25,  0.12,  0.83, -   *               |             -     ,  0.00,  0.89, 4.07
 2,           explore,20,  0.18,  0.49,  --    *            | --------------    ,  0.00,  0.93, 4.54
 2,            random,20,  0.28,  0.23,      ----- *       -|-------------      ,  0.06,  0.89, 0.00
 2,            random,25,  0.29,  0.35,  ------    *        |--------------     ,  0.01,  0.90, 0.00
 2,            random,30,  0.33,  0.11,     -----    *----  |                   ,  0.02,  0.49, 0.00
 2,           explore,30,  0.34,  0.51,  --          *      |   -----------     ,  0.00,  0.88, 3.52
 2,           explore,25,  0.53,  0.24, ----------------    |*    ---------     ,  0.00,  0.92, 5.21
#
 3,           exploit,20,  0.87,  0.85, -                   |             *-    ,  0.00,  0.92, 4.26
 3,               rrp,13,  0.89,  0.59,        -------      |              *    ,  0.08,  0.97, 3.86
#
 4,        baseline,3456,  0.97,  0.03,                     |      -----------* ,  0.27,  1.00, 0.00
