
 0,           UCB_GPM,85,  0.05,  0.00, *                   |                   ,  0.05,  0.05, 0.02
#
 1,           UCB_GPM,65,  0.05,  0.00, *                   |                   ,  0.05,  0.05, 0.01
#
 2,           UCB_GPM,70,  0.05,  0.00, *                   |                   ,  0.05,  0.05, 0.04
#
 3,          UCB_GPM,110,  0.06,  0.00, *                   |                   ,  0.06,  0.06, 0.04
#
 4,          UCB_GPM,115,  0.08,  0.00,   *                 |                   ,  0.08,  0.08, 0.01
#
 5,          UCB_GPM,125,  0.09,  0.00,   *                 |                   ,  0.09,  0.09, 0.03
#
 6,          UCB_GPM,135,  0.09,  0.00,   *                 |                   ,  0.09,  0.09, 0.00
#
 7,          UCB_GPM,100,  0.09,  0.00,   *                 |                   ,  0.09,  0.09, 0.01
#
 8,          UCB_GPM,130,  0.09,  0.00,   *                 |                   ,  0.09,  0.09, 0.01
#
 9,          UCB_GPM,140,  0.09,  0.00,   *                 |                   ,  0.09,  0.09, 0.01
#
10,           UCB_GPM,95,  0.09,  0.00,   *                 |                   ,  0.09,  0.09, 0.00
#
11,           UCB_GPM,60,  0.09,  0.00,   *                 |                   ,  0.09,  0.09, 0.00
#
12,          UCB_GPM,150,  0.09,  0.00,   *                 |                   ,  0.09,  0.09, 0.00
#
13,          UCB_GPM,105,  0.09,  0.00,   *                 |                   ,  0.09,  0.09, 0.01
#
14,           UCB_GPM,55,  0.09,  0.00,   *                 |                   ,  0.09,  0.09, 0.02
#
15,           UCB_GPM,90,  0.10,  0.00,   *                 |                   ,  0.10,  0.10, 0.02
#
16,           UCB_GPM,45,  0.10,  0.00,   *                 |                   ,  0.10,  0.10, 0.00
#
17,          UCB_GPM,120,  0.10,  0.00,   *                 |                   ,  0.10,  0.10, 0.00
#
18,          UCB_GPM,145,  0.10,  0.00,    *                |                   ,  0.10,  0.10, 0.02
#
19,           UCB_GPM,30,  0.10,  0.00,    *                |                   ,  0.10,  0.10, 0.01
#
20,           UCB_GPM,75,  0.10,  0.00,    *                |                   ,  0.10,  0.10, 0.00
#
21,           UCB_GPM,80,  0.10,  0.00,    *                |                   ,  0.10,  0.10, 0.03
#
22,           UCB_GPM,15,  0.10,  0.00,    *                |                   ,  0.10,  0.10, 0.01
#
23,           UCB_GPM,50,  0.10,  0.00,    *                |                   ,  0.10,  0.10, 0.00
#
24,           UCB_GPM,40,  0.10,  0.00,    *                |                   ,  0.10,  0.10, 0.04
#
25,           UCB_GPM,35,  0.12,  0.00,     *               |                   ,  0.12,  0.12, 0.00
#
26,           UCB_GPM,25,  0.12,  0.00,     *               |                   ,  0.12,  0.12, 0.00
#
27,           UCB_GPM,20,  0.14,  0.00,      *              |                   ,  0.14,  0.14, 0.02
#
28,           UCB_GPM,10,  0.18,  0.00,         *           |                   ,  0.18,  0.18, 0.03
#
29,               rrp,17,  0.21,  0.10,       --  *    -----|----               ,  0.14,  0.47, 164.30
#
30,            UCB_GPM,5,  0.28,  0.00,                *    |                   ,  0.28,  0.28, 0.00
#
31,       baseline,53662,  0.37,  0.02,                    -|*--                ,  0.14,  0.64, 0.07
