#
 0,       LLM/exploit,15,  0.17,  0.09, -*   ------         |                   ,  0.15,  0.41, 14.96
 0,      LLM/exploit,110,  0.17,  0.13,  *     -------      |                   ,  0.13,  0.48, 14.91
 0,       LLM/exploit,10,  0.17,  0.10, -*    -----         |                   ,  0.13,  0.48, 15.88
#
 1,       LLM/exploit,35,  0.17,  0.10, -*    ------        |                   ,  0.13,  0.48, 15.64
 1,       LLM/exploit,40,  0.24,  0.15,      *  ----        |                   ,  0.13,  0.48, 14.67
 1,      LLM/explore,100,  0.24,  0.13, --   *  ---         |                   ,  0.13,  0.41, 14.84
 1,       LLM/explore,25,  0.25,  0.16, --   *   ---        |                   ,  0.13,  0.43, 15.35
 1,       LLM/exploit,30,  0.25,  0.16,      *   -----      |                   ,  0.17,  0.48, 15.50
 1,      LLM/exploit,105,  0.26,  0.21, -    *     -        |                   ,  0.13,  0.48, 15.08
#
 2,      LLM/exploit,130,  0.26,  0.20, -    *     -        |                   ,  0.13,  0.40, 15.65
 2,       LLM/exploit,20,  0.27,  0.17,  --   *             |                   ,  0.15,  0.40, 15.33
 2,       LLM/exploit,45,  0.27,  0.20,       *  ----       |                   ,  0.13,  0.43, 15.49
 2,       LLM/exploit,55,  0.27,  0.16,  -    *  -------    |                   ,  0.13,  0.50, 15.13
 2,       LLM/exploit,60,  0.27,  0.21, -     *    -----    |                   ,  0.15,  0.48, 15.36
 2,       LLM/exploit,65,  0.27,  0.14,       * ----        |                   ,  0.13,  0.48, 15.23
 2,       LLM/exploit,70,  0.27,  0.11,  -----*    -        |                   ,  0.15,  0.41, 15.08
 2,       LLM/exploit,85,  0.27,  0.13, -     *----         |                   ,  0.13,  0.39, 15.15
 2,       LLM/exploit,90,  0.27,  0.14,       * ----        |                   ,  0.13,  0.41, 15.20
 2,      LLM/exploit,100,  0.27,  0.21,       *    --       |                   ,  0.13,  0.48, 14.89
 2,      LLM/exploit,115,  0.27,  0.20,       *   -         |                   ,  0.13,  0.40, 14.94
 2,      LLM/exploit,120,  0.27,  0.20,       *    --       |                   ,  0.13,  0.48, 14.81
 2,      LLM/exploit,125,  0.27,  0.17, -     *  ---        |                   ,  0.13,  0.50, 15.04
 2,      LLM/exploit,140,  0.27,  0.13,       *----         |                   ,  0.17,  0.39, 14.84
#
 3,      LLM/exploit,145,  0.27,  0.19,  --   *     --      |                   ,  0.17,  0.50, 14.83
 3,      LLM/exploit,150,  0.27,  0.14,  -    * ----        |                   ,  0.15,  0.55, 14.52
 3,       LLM/exploit,80,  0.28,  0.20,  -    *    -        |                   ,  0.13,  0.42, 15.37
 3,       LLM/exploit,75,  0.30,  0.18,        *  ---       |                   ,  0.13,  0.43, 15.10
 3,       LLM/explore,30,  0.30,  0.13, ---    * -----      |                   ,  0.13,  0.45, 15.14
 3,      LLM/explore,115,  0.30,  0.06,   ---- *----        |                   ,  0.13,  0.47, 15.38
 3,        LLM/exploit,5,  0.31,  0.08,  ----- *  --        |                   ,  0.13,  0.41, 15.81
 3,       LLM/exploit,95,  0.31,  0.10,  ----- *   -        |                   ,  0.15,  0.48, 15.93
 3,      LLM/exploit,135,  0.31,  0.15,  ---   *   -        |                   ,  0.13,  0.41, 14.78
 3,        LLM/explore,5,  0.31,  0.14,   ---  *   -        |                   ,  0.13,  0.43, 14.94
 3,       LLM/exploit,25,  0.31,  0.11,  -----  *  --       |                   ,  0.17,  0.48, 15.09
#
 4,       LLM/explore,50,  0.31,  0.05,      -- *----       |                   ,  0.13,  0.45, 14.80
 4,      LLM/explore,105,  0.31,  0.12,   ----  *  -        |                   ,  0.13,  0.44, 15.09
 4,      LLM/explore,110,  0.31,  0.08, ------  *----       |                   ,  0.13,  0.43, 15.24
 4,       LLM/explore,65,  0.31,  0.18, --      *  ---      |                   ,  0.15,  0.47, 15.14
 4,      LLM/explore,120,  0.32,  0.12, ------  *  --       |                   ,  0.13,  0.51, 14.80
 4,       LLM/explore,45,  0.32,  0.11,  ------ *   --      |                   ,  0.13,  0.45, 506.75
 4,       LLM/explore,90,  0.32,  0.10, -----   *---        |                   ,  0.13,  0.41, 15.00
 4,       LLM/explore,55,  0.32,  0.14, ---     * ---       |                   ,  0.13,  0.53, 14.98
 4,      LLM/explore,135,  0.33,  0.17, ---     *  ---      |                   ,  0.15,  0.53, 15.00
 4,       LLM/explore,75,  0.33,  0.08, ------  *-----      |                   ,  0.13,  0.44, 15.58
 4,       LLM/explore,95,  0.33,  0.09, ------   *----      |                   ,  0.13,  0.53, 15.24
 4,       LLM/explore,10,  0.33,  0.12,  ----    * --       |                   ,  0.15,  0.45, 14.91
 4,       LLM/explore,15,  0.33,  0.14,  --      *----      |                   ,  0.13,  0.45, 14.90
 4,      LLM/explore,145,  0.33,  0.09,   ------ *  ---     |                   ,  0.13,  0.48, 15.48
 4,       LLM/explore,85,  0.33,  0.04,   -----  *--        |                   ,  0.15,  0.43, 14.86
 4,       LLM/explore,35,  0.33,  0.10,   -----  * --       |                   ,  0.15,  0.45, 14.72
 4,       LLM/explore,60,  0.33,  0.09, -------  *  --      |                   ,  0.15,  0.53, 14.67
 4,      LLM/explore,130,  0.34,  0.07, -------- * -        |                   ,  0.15,  0.44, 15.21
 4,       LLM/exploit,50,  0.34,  0.11,  -----   * --       |                   ,  0.13,  0.51, 15.46
 4,      LLM/explore,140,  0.34,  0.10,    ----  *  -       |                   ,  0.15,  0.46, 15.04
 4,      LLM/explore,125,  0.34,  0.08,    ----  * --       |                   ,  0.13,  0.55, 15.00
 4,       LLM/explore,40,  0.34,  0.11,  -----   * --       |                   ,  0.13,  0.53, 15.00
 4,       LLM/explore,70,  0.34,  0.08,   ------ * -        |                   ,  0.17,  0.41, 15.39
 4,      LLM/explore,150,  0.35,  0.09,   ------ *  --      |                   ,  0.18,  0.52, 14.94
 4,       LLM/explore,80,  0.35,  0.09,  ------   * --      |                   ,  0.15,  0.44, 14.97
