#
 0,       LLM/exploit,10,  0.49,  0.03, * ---------         |                   ,  0.49,  0.63, 14.34
 0,       LLM/exploit,15,  0.49,  0.09, *      ----         |                   ,  0.49,  0.63, 14.36
 0,       LLM/exploit,35,  0.49,  0.09, *      ----         |                   ,  0.49,  0.63, 14.43
 0,       LLM/exploit,60,  0.49,  0.14, *                   |                   ,  0.49,  0.68, 14.27
 0,       LLM/exploit,75,  0.49,  0.14, *                   |                   ,  0.49,  0.63, 14.37
 0,       LLM/exploit,80,  0.49,  0.03, * ---------         |                   ,  0.49,  0.63, 14.35
 0,       LLM/exploit,95,  0.49,  0.14, *                   |                   ,  0.49,  0.63, 15.08
 0,      LLM/exploit,110,  0.49,  0.14, *                   |                   ,  0.49,  0.63, 14.31
 0,      LLM/exploit,115,  0.49,  0.03, * ---------         |                   ,  0.49,  0.63, 14.23
 0,      LLM/exploit,130,  0.49,  0.14, *                   |                   ,  0.49,  0.63, 14.31
 0,      LLM/exploit,135,  0.49,  0.14, *                   |                   ,  0.49,  0.63, 14.13
 0,      LLM/exploit,145,  0.49,  0.09, *      ----         |                   ,  0.49,  0.63, 14.43
 0,      LLM/exploit,150,  0.49,  0.14, *                   |                   ,  0.49,  0.68, 14.65
 0,       LLM/exploit,50,  0.50,  0.03, * ---------         |                   ,  0.49,  0.63, 508.60
 0,       LLM/exploit,90,  0.50,  0.14, *                   |                   ,  0.49,  0.63, 14.19
 0,      LLM/exploit,140,  0.50,  0.07, *    ------         |                   ,  0.49,  0.63, 14.86
#
 1,        LLM/exploit,5,  0.52,  0.09,   *    ----         |                   ,  0.49,  0.63, 14.38
 1,       LLM/exploit,20,  0.52,  0.09,   *    ----         |                   ,  0.49,  0.63, 14.08
#
 2,       LLM/exploit,40,  0.52,  0.14,   *                 |                   ,  0.49,  0.68, 14.93
 2,       LLM/exploit,45,  0.52,  0.14,   *                 |                   ,  0.49,  0.63, 14.49
 2,       LLM/exploit,70,  0.52,  0.14,   *                 |                   ,  0.49,  0.68, 14.73
 2,       LLM/exploit,85,  0.52,  0.14,   *                 |                   ,  0.49,  0.68, 14.34
 2,      LLM/exploit,100,  0.52,  0.14,   *                 |                   ,  0.49,  0.63, 14.42
 2,      LLM/exploit,125,  0.55,  0.14,     *               |                   ,  0.49,  0.68, 14.20
 2,      LLM/explore,140,  0.55,  0.08, ----*      -        |                   ,  0.49,  0.69, 14.21
#
 3,       LLM/explore,35,  0.57,  0.07, --   * ----         |                   ,  0.49,  0.65, 14.59
#
 4,       LLM/explore,20,  0.57,  0.08, ----  *    -        |                   ,  0.49,  0.65, 14.38
 4,       LLM/explore,70,  0.57,  0.08,   --  *             |                   ,  0.49,  0.65, 14.30
 4,      LLM/explore,100,  0.57,  0.04,   --  *-----        |                   ,  0.50,  0.65, 14.69
 4,        LLM/explore,5,  0.57,  0.03,     - * ---         |                   ,  0.49,  0.63, 14.01
 4,       LLM/explore,45,  0.57,  0.04,   --  *----         |                   ,  0.52,  0.69, 14.26
 4,       LLM/explore,65,  0.57,  0.08,   --  *             |                   ,  0.49,  0.64, 14.11
 4,       LLM/explore,80,  0.57,  0.06, ----  *  --         |                   ,  0.50,  0.65, 14.04
 4,       LLM/explore,90,  0.57,  0.05,       * ---         |                   ,  0.49,  0.64, 14.22
 4,       LLM/explore,10,  0.59,  0.07,   ---  *            |                   ,  0.49,  0.72, 14.85
 4,       LLM/exploit,25,  0.59,  0.14,        *            |                   ,  0.49,  0.63, 14.25
 4,       LLM/explore,25,  0.59,  0.08, ----   *            |                   ,  0.49,  0.69, 14.05
 4,       LLM/exploit,30,  0.59,  0.14,        *            |                   ,  0.49,  0.63, 14.57
 4,       LLM/explore,30,  0.59,  0.07,     -  *   -        |                   ,  0.49,  0.78, 14.57
 4,       LLM/explore,50,  0.59,  0.07,   ---  *   -        |                   ,  0.50,  0.69, 14.46
 4,       LLM/explore,60,  0.59,  0.08, ----   *            |                   ,  0.49,  0.64, 14.22
 4,       LLM/explore,75,  0.59,  0.08,        *            |                   ,  0.49,  0.64, 14.23
 4,       LLM/explore,95,  0.59,  0.08,   --   *   -        |                   ,  0.50,  0.66, 14.23
 4,      LLM/exploit,105,  0.59,  0.14,        *            |                   ,  0.49,  0.70, 14.07
 4,      LLM/explore,115,  0.59,  0.07, -----  *   -        |                   ,  0.49,  0.69, 14.07
 4,      LLM/explore,130,  0.59,  0.04,     -  *---         |                   ,  0.49,  0.64, 14.50
 4,      LLM/explore,145,  0.59,  0.07, -----  *   -        |                   ,  0.49,  0.68, 14.20
 4,       LLM/explore,15,  0.59,  0.08,        *   -        |                   ,  0.52,  0.66, 14.00
#
 5,      LLM/explore,150,  0.59,  0.05,     ---*   -        |                   ,  0.55,  0.66, 14.31
 5,      LLM/explore,125,  0.60,  0.09, ----    *           |                   ,  0.49,  0.66, 13.99
 5,      LLM/explore,135,  0.61,  0.05,     ---  *          |                   ,  0.49,  0.64, 14.62
 5,                rrp,9,  0.63,  0.09,     ---    *  ------|------------------ ,  0.49,  1.00, 0.11
 5,       LLM/explore,40,  0.63,  0.03,       --   *        |                   ,  0.55,  0.64, 14.14
 5,       LLM/exploit,55,  0.63,  0.05, -------    *--      |                   ,  0.49,  0.68, 14.30
 5,       LLM/explore,55,  0.63,  0.06,     --     *        |                   ,  0.49,  0.69, 13.99
 5,       LLM/exploit,65,  0.63,  0.11, --         *        |                   ,  0.49,  0.68, 15.14
 5,      LLM/explore,105,  0.63,  0.04,   -----    *        |                   ,  0.50,  0.66, 14.00
 5,      LLM/explore,110,  0.63,  0.06,     --     *        |                   ,  0.49,  0.67, 14.18
#
 6,      LLM/exploit,120,  0.63,  0.14,            *        |                   ,  0.49,  0.63, 14.60
 6,      LLM/explore,120,  0.63,  0.04,     ---    *        |                   ,  0.49,  0.70, 14.21
 6,       LLM/explore,85,  0.63,  0.01,     -------*        |                   ,  0.55,  0.69, 14.38
#
 7,         baseline,196,  0.75,  0.12,          --------   *      -----------  ,  0.49,  1.00, 0.00
