#
 0,       LLM/exploit,60,  0.47,  0.14, *                   |                   ,  0.47,  0.71, 14.27
 0,      LLM/exploit,115,  0.47,  0.03, * --------          |                   ,  0.47,  0.61, 14.43
 0,      LLM/exploit,130,  0.47,  0.14, *                   |                   ,  0.47,  0.61, 14.41
 0,       LLM/exploit,45,  0.50,  0.09,  *    ----          |                   ,  0.47,  0.61, 14.34
 0,      LLM/exploit,110,  0.50,  0.14,  *        ----      |                   ,  0.47,  0.71, 14.52
 0,      LLM/exploit,150,  0.50,  0.14,  *                  |                   ,  0.47,  0.62, 14.05
 0,       LLM/exploit,15,  0.50,  0.14,   *                 |                   ,  0.47,  0.61, 14.06
#
 1,       LLM/exploit,40,  0.50,  0.14,   *                 |                   ,  0.47,  0.62, 13.93
 1,      LLM/exploit,105,  0.50,  0.14,   *                 |                   ,  0.47,  0.69, 14.36
 1,       LLM/exploit,35,  0.53,  0.14,     *               |                   ,  0.47,  0.67, 14.17
#
 2,       LLM/explore,60,  0.56,  0.07,    ---*    -        |                   ,  0.50,  0.66, 14.49
 2,       LLM/explore,65,  0.56,  0.06,   --- *   -         |                   ,  0.50,  0.65, 14.17
 2,      LLM/explore,130,  0.56,  0.05,     - *  ----       |                   ,  0.50,  0.72, 14.51
 2,       LLM/explore,70,  0.58,  0.06,     -- *  -         |                   ,  0.50,  0.63, 14.37
#
 3,      LLM/exploit,145,  0.58,  0.14,        *            |                   ,  0.47,  0.61, 14.28
 3,      LLM/explore,145,  0.58,  0.05,   ---- *  -         |                   ,  0.47,  0.67, 14.11
 3,       LLM/exploit,25,  0.59,  0.14,         *           |                   ,  0.47,  0.61, 14.09
 3,      LLM/explore,110,  0.59,  0.08,   --    * -         |                   ,  0.50,  0.67, 14.16
 3,      LLM/explore,140,  0.59,  0.07,    ---  *  ---      |                   ,  0.47,  0.73, 15.00
 3,      LLM/explore,150,  0.59,  0.07,  -----  *           |                   ,  0.47,  0.67, 14.26
 3,       LLM/explore,25,  0.59,  0.05,    ---   *-         |                   ,  0.47,  0.63, 14.01
 3,       LLM/explore,45,  0.59,  0.06,     --   *-         |                   ,  0.50,  0.63, 14.39
 3,       LLM/explore,85,  0.59,  0.05,     --   *-         |                   ,  0.50,  0.63, 14.60
 3,       LLM/explore,95,  0.59,  0.08,   --     *-         |                   ,  0.47,  0.71, 14.25
 3,      LLM/explore,100,  0.59,  0.07,    ---   * ---      |                   ,  0.47,  0.67, 14.49
 3,      LLM/explore,115,  0.60,  0.02,     ---- *-         |                   ,  0.50,  0.63, 13.87
#
 4,       LLM/explore,10,  0.60,  0.07, ------   *          |                   ,  0.47,  0.67, 14.14
 4,       LLM/explore,35,  0.60,  0.07,     --   * --       |                   ,  0.47,  0.67, 14.35
 4,       LLM/explore,75,  0.60,  0.09,  ---     * --       |                   ,  0.47,  0.67, 14.38
 4,       LLM/explore,80,  0.60,  0.05,    ---   *-         |                   ,  0.50,  0.71, 14.32
 4,       LLM/explore,90,  0.60,  0.04,   -----  * ------   |                   ,  0.50,  0.73, 14.20
 4,        LLM/exploit,5,  0.61,  0.14,           *         |                   ,  0.47,  0.62, 14.21
 4,       LLM/exploit,10,  0.61,  0.11, -         *         |                   ,  0.47,  0.62, 14.17
 4,       LLM/explore,15,  0.61,  0.03,      ---- *---      |                   ,  0.52,  0.71, 14.39
 4,       LLM/exploit,20,  0.61,  0.14,           *         |                   ,  0.47,  0.62, 14.69
 4,       LLM/explore,20,  0.61,  0.03,       --- *------   |                   ,  0.52,  0.73, 14.06
 4,       LLM/exploit,30,  0.61,  0.11, -         *------   |                   ,  0.47,  0.71, 14.91
 4,       LLM/explore,30,  0.61,  0.06,     --    *--       |                   ,  0.50,  0.65, 14.61
 4,       LLM/explore,40,  0.61,  0.05,    ----   *         |                   ,  0.50,  0.63, 14.58
 4,       LLM/exploit,50,  0.61,  0.11, -         *         |                   ,  0.47,  0.62, 14.80
 4,       LLM/explore,50,  0.61,  0.03,    ------ *         |                   ,  0.47,  0.66, 503.62
 4,       LLM/exploit,55,  0.61,  0.14,           *         |                   ,  0.47,  0.62, 14.25
 4,       LLM/explore,55,  0.61,  0.05,      -    *         |                   ,  0.47,  0.63, 14.37
 4,       LLM/exploit,65,  0.61,  0.00, ----------*         |                   ,  0.47,  0.62, 14.31
 4,       LLM/exploit,70,  0.61,  0.11, --        *         |                   ,  0.47,  0.62, 14.17
 4,       LLM/exploit,75,  0.61,  0.08, ----      *         |                   ,  0.47,  0.67, 14.78
 4,       LLM/exploit,80,  0.61,  0.11, -         *         |                   ,  0.47,  0.62, 14.09
 4,       LLM/exploit,85,  0.61,  0.14,           *------   |                   ,  0.47,  0.71, 14.49
 4,       LLM/exploit,90,  0.61,  0.11, -         *         |                   ,  0.47,  0.62, 14.25
 4,       LLM/exploit,95,  0.61,  0.11, --        *---      |                   ,  0.47,  0.71, 14.53
 4,      LLM/exploit,100,  0.61,  0.11, --        *         |                   ,  0.47,  0.62, 14.23
 4,      LLM/explore,105,  0.61,  0.06,   ----    *         |                   ,  0.47,  0.63, 14.15
 4,      LLM/exploit,120,  0.61,  0.14,           *         |                   ,  0.47,  0.61, 14.12
 4,      LLM/explore,120,  0.61,  0.09,    -      *-        |                   ,  0.47,  0.71, 14.22
 4,      LLM/exploit,125,  0.61,  0.14,           *         |                   ,  0.47,  0.71, 14.77
 4,      LLM/explore,125,  0.61,  0.04,    ----   *         |                   ,  0.47,  0.63, 14.20
 4,      LLM/exploit,135,  0.61,  0.14,           *         |                   ,  0.47,  0.62, 14.35
 4,      LLM/explore,135,  0.61,  0.02,       --- *--       |                   ,  0.50,  0.71, 14.13
#
 5,      LLM/exploit,140,  0.61,  0.14,           *         |                   ,  0.47,  0.71, 14.48
 5,        LLM/explore,5,  0.62,  0.02,     -----  *--      |                   ,  0.50,  0.67, 14.38
 5,                rrp,9,  0.64,  0.12,          -- *      -|------------------ ,  0.58,  1.00, 0.11
#
 6,         baseline,196,  0.76,  0.13,           --------  |*      ----------- ,  0.47,  1.00, 0.00
