#
 0,       LLM/exploit,45,  0.07,  0.04,  *--------------    |                   ,  0.03,  0.65, 20.86
 0,       LLM/exploit,50,  0.07,  0.20,  *       -----------|-----              ,  0.04,  0.82, 21.53
 0,      LLM/exploit,120,  0.07,  0.04,  *--------------    |                   ,  0.03,  0.66, 21.80
 0,       LLM/exploit,95,  0.07,  0.17, -*      --------    |                   ,  0.03,  0.43, 21.11
 0,       LLM/exploit,65,  0.08,  0.36, -*             --   |                   ,  0.03,  0.82, 21.13
 0,       LLM/exploit,75,  0.08,  0.33, -*            ------|-----              ,  0.03,  0.82, 21.39
 0,      LLM/exploit,135,  0.08,  0.28, -*          -----   |                   ,  0.03,  0.63, 21.68
 0,       LLM/exploit,70,  0.08,  0.22, - *       ----------|----               ,  0.04,  0.82, 20.67
 0,      LLM/exploit,130,  0.08,  0.22, - *       ------    |                   ,  0.03,  0.82, 21.60
 0,       LLM/exploit,25,  0.09,  0.33, - *           ------|-----------        ,  0.03,  0.84, 21.31
 0,        LLM/exploit,5,  0.09,  0.35, - *            -----|----               ,  0.04,  0.82, 21.60
 0,       LLM/exploit,20,  0.09,  0.20, - *      -----------|-----              ,  0.03,  0.73, 21.07
 0,       LLM/exploit,35,  0.09,  0.25, - *        ---------|-----              ,  0.03,  0.84, 20.80
 0,       LLM/explore,85,  0.09,  0.35, - *             -   |                   ,  0.04,  0.52, 21.11
 0,      LLM/exploit,145,  0.09,  0.19, - *      -----------|-----              ,  0.03,  0.67, 21.32
 0,       LLM/exploit,55,  0.09,  0.19, - *      ------     |                   ,  0.03,  0.42, 21.45
 0,       LLM/exploit,80,  0.09,  0.18,   *      ------     |                   ,  0.05,  0.42, 20.85
 0,       LLM/exploit,85,  0.09,  0.33, - *            -----|-----              ,  0.03,  0.82, 21.34
 0,      LLM/exploit,105,  0.10,  0.35, - *            -----|-----              ,  0.03,  0.68, 20.73
 0,               rrp,13,  0.10,  0.03,  - *-----------     |                   ,  0.05,  0.94, 2.45
 0,      LLM/exploit,125,  0.10,  0.32, -  *          ------|-----------        ,  0.03,  0.82, 20.93
 0,      LLM/explore,145,  0.11,  0.19,  - *     -------    |                   ,  0.05,  0.83, 21.14
 0,       LLM/explore,40,  0.11,  0.32,  - *           --   |                   ,  0.04,  0.68, 21.66
 0,       LLM/explore,60,  0.11,  0.36,    *            ----|------------       ,  0.03,  0.84, 20.85
 0,       LLM/explore,35,  0.12,  0.34, -- *            ----|-----              ,  0.04,  0.83, 21.14
 0,       LLM/explore,55,  0.12,  0.19, -- *      ----------|-----------        ,  0.03,  0.83, 21.23
 0,       LLM/explore,75,  0.12,  0.19,  - *      -----     |                   ,  0.03,  0.43, 21.47
 0,      LLM/explore,100,  0.12,  0.28,  - *          ------|-----              ,  0.03,  0.68, 21.38
 0,      LLM/explore,115,  0.12,  0.06,  - *--------        |                   ,  0.03,  0.55, 20.91
 0,      LLM/explore,135,  0.12,  0.14,  - *    --------    |                   ,  0.03,  0.64, 21.28
 0,      LLM/explore,130,  0.13,  0.24,  - *        --------|                   ,  0.04,  0.83, 20.87
 0,      LLM/explore,150,  0.13,  0.26,    *        --------|-------            ,  0.04,  0.82, 21.54
 0,       LLM/explore,15,  0.13,  0.22,     *     ------    |                   ,  0.05,  0.82, 21.42
 0,       LLM/explore,25,  0.13,  0.20,  -- *      -------  |                   ,  0.05,  0.68, 20.89
 0,       LLM/exploit,40,  0.15,  0.35,     *          -----|-----------        ,  0.03,  0.84, 21.15
 0,       LLM/explore,30,  0.15,  0.27,  -- *         ------|------             ,  0.04,  0.82, 21.33
 0,       LLM/explore,90,  0.15,  0.22,  -  *      ---------|----               ,  0.05,  0.72, 21.46
 0,      LLM/exploit,140,  0.15,  0.34, -   *          -----|-----              ,  0.03,  0.82, 21.09
 0,       LLM/exploit,30,  0.16,  0.27,      *      ----    |                   ,  0.03,  0.44, 21.32
#
 1,       LLM/exploit,15,  0.16,  0.36, -    *         -----|-----------        ,  0.03,  0.84, 21.49
 1,       LLM/explore,45,  0.17,  0.31,  --  *          ----|-----------        ,  0.05,  0.83, 21.46
 1,      LLM/explore,110,  0.17,  0.32,  -   *              |                   ,  0.03,  0.82, 21.35
 1,       LLM/explore,20,  0.21,  0.33,  --    *        ----|--------           ,  0.05,  0.83, 21.21
 1,       LLM/explore,70,  0.26,  0.23, --       * ---------|-----              ,  0.03,  0.83, 21.42
 1,      LLM/exploit,110,  0.27,  0.34, -        *     -----|-----------        ,  0.04,  0.84, 21.37
 1,      LLM/exploit,115,  0.28,  0.32,  -        *     ----|-----              ,  0.03,  0.82, 20.90
 1,       LLM/exploit,90,  0.28,  0.25,  -        * --------|-----------        ,  0.04,  0.83, 21.25
 1,      LLM/exploit,100,  0.28,  0.32,  --       *     ----|----               ,  0.05,  0.82, 21.20
#
 2,      LLM/explore,105,  0.28,  0.29,  --       *    --   |                   ,  0.03,  0.67, 21.51
 2,       LLM/explore,50,  0.29,  0.31,  -        *    -----|-----              ,  0.07,  0.94, 20.98
 2,        LLM/explore,5,  0.31,  0.23,  --        *------- |                   ,  0.04,  0.84, 21.56
 2,       LLM/exploit,10,  0.31,  0.27,  ---       *   -----|-----              ,  0.06,  0.82, 20.95
 2,       LLM/explore,10,  0.32,  0.35,  -          *    ---|-----------        ,  0.04,  0.82, 21.58
 2,      LLM/explore,140,  0.32,  0.35,  -          *   ----|------             ,  0.06,  0.82, 20.87
 2,       LLM/explore,80,  0.33,  0.27,  ----       *       |                   ,  0.03,  0.51, 21.02
 2,       LLM/explore,95,  0.33,  0.33,   -         *   ----|------             ,  0.04,  0.71, 21.02
 2,      LLM/explore,125,  0.35,  0.31,  --          *  --- |                   ,  0.06,  0.82, 21.20
 2,      LLM/exploit,150,  0.39,  0.36, -             * ----|-----              ,  0.03,  0.82, 20.90
 2,      LLM/explore,120,  0.39,  0.33,   -           * ----|-----------        ,  0.05,  0.84, 21.64
 2,       LLM/exploit,60,  0.40,  0.34, -              *----|-----              ,  0.04,  0.74, 21.00
 2,       LLM/explore,65,  0.41,  0.28,    -           *----|----               ,  0.09,  0.73, 21.10
#
 3,        baseline,3840,  0.85,  0.04,                     |            * ---- ,  0.79,  1.00, 0.01
