#
 0,      LLM/exploit,130,  0.15,  0.18, ---  *    --------  |                   ,  0.02,  0.49, 19.62
 0,       LLM/exploit,90,  0.18,  0.20,    -- *      ------ |                   ,  0.03,  0.50, 19.47
 0,       LLM/explore,20,  0.18,  0.24,   --  *       ----- |                   ,  0.03,  0.50, 19.81
 0,      LLM/explore,140,  0.19,  0.21,  ---- *      -------|                   ,  0.03,  0.57, 20.00
 0,       LLM/explore,15,  0.19,  0.38,    -   *            |                   ,  0.05,  0.62, 19.49
 0,       LLM/exploit,70,  0.20,  0.26, -----  *        --- |                   ,  0.02,  0.52, 19.70
 0,       LLM/exploit,75,  0.20,  0.30,   ---- *          --|                   ,  0.05,  0.59, 19.55
 0,       LLM/explore,60,  0.21,  0.14,    --  *   -------  |                   ,  0.03,  0.52, 19.36
 0,      LLM/exploit,120,  0.22,  0.28,  --     *     ----  |                   ,  0.03,  0.59, 19.84
 0,      LLM/explore,150,  0.22,  0.26,    --   *       ----|                   ,  0.08,  0.61, 19.40
 0,       LLM/exploit,40,  0.22,  0.28,   ---   *       --- |                   ,  0.03,  0.69, 19.31
 0,       LLM/explore,50,  0.23,  0.20,  ----   *    -------|--------           ,  0.05,  0.75, 19.47
 0,      LLM/exploit,150,  0.23,  0.12,  -----  *  -------- |                   ,  0.02,  0.61, 19.32
 0,       LLM/explore,85,  0.23,  0.34,         *      -----|                   ,  0.02,  0.51, 19.57
 0,       LLM/exploit,60,  0.23,  0.18,    --   *   ------  |                   ,  0.03,  0.51, 19.84
 0,       LLM/exploit,80,  0.23,  0.24,     -   *      ---  |                   ,  0.02,  0.53, 19.74
 0,       LLM/exploit,55,  0.24,  0.26,   ----  *        -- |                   ,  0.03,  0.71, 19.48
 0,      LLM/explore,100,  0.24,  0.21,  ------ *      -----|----               ,  0.05,  0.75, 19.85
 0,      LLM/exploit,105,  0.24,  0.23,  ----   *     ----  |                   ,  0.05,  0.67, 19.29
 0,      LLM/exploit,115,  0.24,  0.20,  -----  *     ----- |                   ,  0.03,  0.59, 19.84
 0,      LLM/explore,135,  0.25,  0.28,  ----    *       ---|                   ,  0.03,  0.65, 19.63
 0,       LLM/exploit,85,  0.25,  0.25,   --     *    ----- |                   ,  0.02,  0.52, 19.26
 0,       LLM/explore,35,  0.26,  0.23,    --    *    --    |                   ,  0.06,  0.44, 28.75
 0,       LLM/explore,10,  0.26,  0.23,    --    *     ---- |                   ,  0.08,  0.51, 19.52
 0,       LLM/explore,70,  0.26,  0.25,  ---     *     -----|                   ,  0.05,  0.71, 19.15
#
 1,      LLM/exploit,145,  0.27,  0.31, ----      *      -- |                   ,  0.02,  0.51, 19.23
 1,      LLM/explore,110,  0.28,  0.25,    --     *     ----|------             ,  0.03,  0.73, 19.49
 1,      LLM/exploit,135,  0.28,  0.30,  ---      *     --- |                   ,  0.03,  0.52, 19.89
 1,       LLM/exploit,45,  0.28,  0.25,     --    *     --- |                   ,  0.07,  0.50, 19.42
 1,       LLM/explore,65,  0.29,  0.24,  ----     *   ------|                   ,  0.05,  0.75, 19.41
 1,       LLM/exploit,30,  0.29,  0.33,   --       *     -- |                   ,  0.05,  0.50, 19.25
 1,       LLM/explore,45,  0.30,  0.31,   ---      *      --|--                 ,  0.02,  0.68, 19.88
 1,       LLM/exploit,10,  0.30,  0.30,  ----      *      - |                   ,  0.05,  0.69, 19.92
 1,       LLM/exploit,35,  0.30,  0.18, ------     *  ---   |                   ,  0.03,  0.53, 19.34
 1,      LLM/exploit,110,  0.30,  0.34, -----      *      --|                   ,  0.03,  0.54, 19.90
 1,      LLM/explore,120,  0.30,  0.26,     ---    *      --|                   ,  0.07,  0.56, 19.17
 1,       LLM/exploit,15,  0.30,  0.27,  ---       *   ---  |                   ,  0.02,  0.48, 20.64
 1,       LLM/explore,75,  0.31,  0.30,    -       *    ----|                   ,  0.03,  0.71, 19.28
 1,      LLM/exploit,125,  0.31,  0.23,  ----      *  ----  |                   ,  0.03,  0.47, 19.74
 1,      LLM/explore,105,  0.32,  0.25,     ---     *    ---|--------           ,  0.05,  0.88, 19.80
 1,       LLM/exploit,95,  0.33,  0.19,    -----    *  -----|------             ,  0.03,  0.71, 19.62
 1,       LLM/explore,40,  0.34,  0.34,  ----        *     -|                   ,  0.02,  0.57, 19.93
 1,       LLM/exploit,20,  0.34,  0.31,  ---         *   -- |                   ,  0.03,  0.50, 19.50
 1,       LLM/exploit,25,  0.34,  0.26,     --       *   -- |                   ,  0.03,  0.54, 19.23
 1,       LLM/exploit,65,  0.35,  0.22,    -----     *   ---|------             ,  0.05,  0.70, 19.53
 1,      LLM/exploit,140,  0.36,  0.17,   -------    *  -   |                   ,  0.03,  0.48, 19.23
 1,       LLM/exploit,50,  0.37,  0.25,    -----      *   --|-                  ,  0.06,  0.61, 19.10
 1,       LLM/explore,30,  0.37,  0.30,    --         *  -- |                   ,  0.05,  0.67, 19.94
 1,      LLM/explore,125,  0.37,  0.21,      --       * --  |                   ,  0.05,  0.54, 19.23
 1,      LLM/exploit,100,  0.38,  0.30,    --         *  ---|                   ,  0.03,  0.58, 19.37
#
 2,      LLM/explore,145,  0.38,  0.17,      ----     *  ---|-                  ,  0.07,  0.75, 20.04
 2,        LLM/explore,5,  0.39,  0.29,     ---        *   -|                   ,  0.02,  0.54, 19.37
 2,       LLM/explore,55,  0.39,  0.32,   ----         *   -|                   ,  0.05,  0.59, 19.11
 2,       LLM/explore,90,  0.40,  0.20,      ----      * -- |                   ,  0.10,  0.52, 19.63
 2,       LLM/explore,95,  0.40,  0.24,      ---       *  --|-                  ,  0.05,  0.66, 19.73
 2,       LLM/explore,25,  0.41,  0.19,   --------     * ---|-                  ,  0.03,  0.72, 19.97
 2,      LLM/explore,130,  0.42,  0.31,    ---          *  -|                   ,  0.03,  0.54, 20.00
 2,        LLM/exploit,5,  0.42,  0.28,  -----          * - |                   ,  0.07,  0.61, 19.46
 2,      LLM/explore,115,  0.43,  0.28,  ------         *  -|-----              ,  0.03,  0.70, 19.24
 2,               rrp,12,  0.45,  0.28,  -------         * -|--                 ,  0.03,  0.61, 1.91
 2,       LLM/explore,80,  0.47,  0.23,    -------        * |-                  ,  0.06,  0.61, 19.89
#
 3,        baseline,2880,  0.94,  0.05,                     |             -- *- ,  0.61,  1.00, 0.00
