#
 0,       LLM/exploit,85,  0.01,  0.00, *--                 |                   ,  0.00,  0.03, 21.41
 0,      LLM/exploit,110,  0.01,  0.02, *  --               |                   ,  0.00,  0.09, 21.80
 0,       LLM/exploit,15,  0.01,  0.04, *                   |                   ,  0.00,  0.22, 21.29
 0,       LLM/exploit,20,  0.01,  0.01, *-----              |                   ,  0.00,  0.15, 20.92
 0,       LLM/exploit,50,  0.01,  0.01, * --------          |                   ,  0.00,  0.09, 21.34
 0,       LLM/exploit,70,  0.01,  0.02, * -----             |                   ,  0.00,  0.07, 20.47
 0,       LLM/exploit,30,  0.01,  0.02, * ----              |                   ,  0.00,  0.08, 21.27
 0,       LLM/exploit,80,  0.01,  0.02, *                   |                   ,  0.00,  0.04, 20.66
 0,       LLM/exploit,75,  0.01,  0.02, * --------          |                   ,  0.00,  0.10, 21.51
#
 1,      LLM/exploit,150,  0.01,  0.04, *    -              |                   ,  0.00,  0.08, 20.96
 1,       LLM/exploit,35,  0.01,  0.02, *  --               |                   ,  0.00,  0.05, 20.97
 1,      LLM/exploit,100,  0.01,  0.03, *  -----            |                   ,  0.00,  0.15, 20.95
 1,      LLM/exploit,120,  0.01,  0.02, *   ---             |                   ,  0.00,  0.09, 21.44
 1,      LLM/exploit,125,  0.01,  0.02, *  --------         |                   ,  0.00,  0.09, 21.03
 1,      LLM/exploit,115,  0.01,  0.02, * ---               |                   ,  0.00,  0.08, 20.95
 1,      LLM/exploit,140,  0.01,  0.02, *  --               |                   ,  0.00,  0.05, 21.67
 1,       LLM/exploit,90,  0.01,  0.02,  * ------           |                   ,  0.00,  0.14, 21.25
 1,       LLM/exploit,25,  0.02,  0.02,  * --------         |                   ,  0.00,  0.10, 21.29
 1,       LLM/exploit,95,  0.02,  0.02,  *----              |                   ,  0.00,  0.06, 21.30
 1,      LLM/exploit,105,  0.02,  0.02,  * -----------      |                   ,  0.00,  0.14, 21.22
 1,       LLM/exploit,40,  0.02,  0.02,  * ---              |                   ,  0.00,  0.15, 26.83
 1,       LLM/exploit,60,  0.02,  0.02,   *---              |                   ,  0.00,  0.08, 21.12
#
 2,       LLM/exploit,10,  0.02,  0.02,   *-----            |                   ,  0.00,  0.08, 20.87
 2,      LLM/exploit,130,  0.02,  0.02,   *---              |                   ,  0.00,  0.21, 21.34
 2,        LLM/exploit,5,  0.02,  0.02,   *--               |                   ,  0.00,  0.08, 21.30
 2,       LLM/explore,60,  0.02,  0.04,   *   -----         |                   ,  0.00,  0.12, 20.76
 2,      LLM/exploit,135,  0.02,  0.02,   *---------        |                   ,  0.00,  0.11, 21.31
 2,      LLM/exploit,145,  0.02,  0.02,   *------           |                   ,  0.00,  0.22, 21.16
 2,       LLM/exploit,45,  0.02,  0.03,   * ----            |                   ,  0.00,  0.08, 20.66
 2,       LLM/exploit,65,  0.03,  0.03,   * --------        |                   ,  0.00,  0.13, 21.17
 2,       LLM/exploit,55,  0.03,  0.04,    * ----           |                   ,  0.00,  0.14, 21.31
 2,       LLM/explore,65,  0.03,  0.04, -  *  ---           |                   ,  0.00,  0.09, 21.31
#
 3,      LLM/explore,100,  0.03,  0.02,   -* ---            |                   ,  0.00,  0.15, 21.47
 3,        LLM/explore,5,  0.03,  0.03,  - *  ------------- |                   ,  0.00,  0.16, 21.32
 3,      LLM/explore,115,  0.03,  0.07, -  *       ---------|                   ,  0.00,  0.30, 21.13
 3,      LLM/explore,130,  0.03,  0.02, -- * ---------------|                   ,  0.00,  0.16, 20.70
 3,       LLM/explore,90,  0.03,  0.04, -  *  ------------- |                   ,  0.00,  0.16, 21.49
 3,      LLM/explore,140,  0.03,  0.02, -- * ----------     |                   ,  0.00,  0.12, 20.93
 3,       LLM/explore,50,  0.03,  0.03, -- * -------        |                   ,  0.00,  0.29, 21.08
 3,       LLM/explore,10,  0.03,  0.04, -- *   ----         |                   ,  0.01,  0.09, 21.67
 3,       LLM/explore,35,  0.03,  0.03,  --*  --------------|                   ,  0.01,  0.16, 21.16
 3,       LLM/explore,95,  0.04,  0.02, --- *----           |                   ,  0.00,  0.12, 21.12
 3,       LLM/explore,15,  0.04,  0.05, --- *     --------  |                   ,  0.00,  0.16, 21.36
 3,      LLM/explore,145,  0.04,  0.03, --  * ----          |                   ,  0.00,  0.08, 21.06
 3,       LLM/explore,80,  0.04,  0.02, ---  *--------------|                   ,  0.00,  0.16, 21.28
 3,       LLM/explore,75,  0.04,  0.04,  -   * -----        |                   ,  0.00,  0.16, 21.41
 3,      LLM/explore,120,  0.04,  0.02,      *------        |                   ,  0.01,  0.16, 21.43
 3,      LLM/explore,135,  0.04,  0.02,   -  *--------------|                   ,  0.01,  0.16, 21.63
 3,       LLM/explore,25,  0.04,  0.06, ---- *      --------|                   ,  0.00,  0.16, 20.91
 3,       LLM/explore,20,  0.04,  0.03, --   *--------------|                   ,  0.00,  0.16, 21.69
 3,       LLM/explore,30,  0.04,  0.03,   -  *  ---         |                   ,  0.00,  0.16, 22.02
 3,      LLM/explore,150,  0.05,  0.03, ---  *--------      |                   ,  0.00,  0.12, 21.12
 3,       LLM/explore,70,  0.05,  0.03,  --  * ---          |                   ,  0.01,  0.09, 21.21
 3,       LLM/explore,40,  0.05,  0.02,  --  *------        |                   ,  0.01,  0.11, 21.25
 3,      LLM/explore,105,  0.05,  0.04, ---  *  --          |                   ,  0.00,  0.15, 21.66
 3,       LLM/explore,55,  0.05,  0.04,   -  *  ----------  |                   ,  0.01,  0.15, 21.43
 3,      LLM/explore,125,  0.05,  0.03, ---   *---------    |                   ,  0.00,  0.16, 21.25
#
 4,       LLM/explore,85,  0.05,  0.03, ---   *-            |                   ,  0.00,  0.09, 21.27
 4,               rrp,13,  0.05,  0.11, ----- *             |                   ,  0.00,  0.18, 2.48
 4,       LLM/explore,45,  0.05,  0.04,  --   * ---         |                   ,  0.00,  0.09, 21.44
 4,      LLM/explore,110,  0.05,  0.04, ---   * ------      |                   ,  0.00,  0.15, 21.44
#
 5,        baseline,3840,  0.15,  0.04,  --------------     *                   ,  0.00,  0.21, 0.01
