#
 0,      LLM/exploit,130,  0.20,  0.09, *   ------          |                   ,  0.20,  0.40, 18.74
#
 1,       LLM/exploit,30,  0.25,  0.11, - *   ----          |                   ,  0.20,  0.40, 18.53
 1,       LLM/exploit,55,  0.25,  0.17,   *     --          |                   ,  0.20,  0.40, 19.07
 1,       LLM/exploit,60,  0.25,  0.20,   *                 |                   ,  0.20,  0.42, 18.30
 1,       LLM/exploit,95,  0.25,  0.08,   *-------          |                   ,  0.20,  0.40, 43.09
 1,      LLM/exploit,150,  0.25,  0.20,   *                 |                   ,  0.20,  0.40, 18.95
#
 2,       LLM/exploit,85,  0.26,  0.17,    *    --          |                   ,  0.20,  0.40, 18.72
 2,       LLM/exploit,75,  0.28,  0.14,    *  ----          |                   ,  0.20,  0.40, 18.72
 2,       LLM/exploit,90,  0.28,  0.20,    *                |                   ,  0.20,  0.40, 162.79
 2,      LLM/exploit,110,  0.28,  0.15, -- *                |                   ,  0.20,  0.40, 34.16
 2,       LLM/exploit,15,  0.29,  0.15, --  *               |                   ,  0.20,  0.40, 18.63
 2,       LLM/exploit,35,  0.29,  0.18,     *               |                   ,  0.20,  0.40, 18.89
 2,       LLM/exploit,50,  0.29,  0.20,     *               |                   ,  0.20,  0.40, 18.95
 2,       LLM/exploit,80,  0.29,  0.12,     * ----          |                   ,  0.20,  0.40, 19.07
 2,       LLM/exploit,20,  0.32,  0.15, --    *             |                   ,  0.20,  0.40, 45.18
 2,       LLM/explore,20,  0.32,  0.15, --    *             |                   ,  0.20,  0.40, 37.61
#
 3,       LLM/explore,35,  0.32,  0.15, --    *             |                   ,  0.20,  0.40, 18.87
 3,       LLM/explore,50,  0.32,  0.09, ---   * --          |                   ,  0.22,  0.40, 18.52
 3,       LLM/exploit,65,  0.32,  0.20,       *             |                   ,  0.20,  0.40, 35.56
 3,       LLM/exploit,70,  0.32,  0.20,       *             |                   ,  0.20,  0.40, 18.51
 3,       LLM/explore,70,  0.32,  0.18,       *             |                   ,  0.20,  0.40, 19.91
 3,       LLM/explore,85,  0.32,  0.12, ---   *             |                   ,  0.20,  0.40, 29.95
 3,       LLM/explore,90,  0.32,  0.15, --    *             |                   ,  0.20,  0.40, 19.61
 3,       LLM/explore,95,  0.32,  0.12, --    * --          |                   ,  0.20,  0.40, 135.47
 3,      LLM/exploit,115,  0.32,  0.15, --    *             |                   ,  0.20,  0.45, 19.03
 3,      LLM/exploit,120,  0.32,  0.17, -     *             |                   ,  0.20,  0.40, 18.49
