#
 0,      LLM/exploit,100,  0.09,  0.12,   -*    --          |                   ,  0.03,  0.30, 362.88
 0,      LLM/exploit,110,  0.09,  0.13,  - *   ---          |                   ,  0.00,  0.33, 16.02
 0,       LLM/exploit,40,  0.10,  0.08,   - * ----          |                   ,  0.03,  0.26, 16.04
 0,      LLM/exploit,115,  0.10,  0.10,     * ----          |                   ,  0.03,  0.45, 53.73
 0,       LLM/exploit,10,  0.10,  0.17,  -  *    --         |                   ,  0.00,  0.29, 16.59
 0,       LLM/exploit,15,  0.10,  0.15,   - *    -          |                   ,  0.03,  0.27, 182.40
 0,       LLM/exploit,20,  0.10,  0.06,  -- * ---           |                   ,  0.03,  0.24, 108.38
 0,       LLM/exploit,60,  0.10,  0.06,  -- *-----          |                   ,  0.03,  0.27, 16.03
 0,       LLM/exploit,65,  0.10,  0.07,   - * ----          |                   ,  0.00,  0.41, 15.82
 0,       LLM/exploit,25,  0.11,  0.07,   - * ----          |                   ,  0.00,  0.29, 82.63
 0,       LLM/exploit,30,  0.11,  0.06,   --* ----          |                   ,  0.00,  0.30, 16.12
 0,       LLM/exploit,45,  0.11,  0.17,  -  *    --         |                   ,  0.00,  0.30, 43.23
 0,       LLM/exploit,75,  0.11,  0.13,   - *   --          |                   ,  0.03,  0.29, 33.45
 0,      LLM/exploit,105,  0.11,  0.06,   - * -----         |                   ,  0.03,  0.29, 15.99
 0,      LLM/exploit,120,  0.11,  0.17,  -  *               |                   ,  0.00,  0.36, 16.00
 0,      LLM/exploit,125,  0.11,  0.15,   - *    --         |                   ,  0.03,  0.30, 16.04
 0,      LLM/exploit,140,  0.11,  0.07,  -- * ----          |                   ,  0.03,  0.27, 15.98
#
 1,      LLM/exploit,145,  0.11,  0.15,  -  *   ---         |                   ,  0.00,  0.44, 16.01
 1,      LLM/exploit,150,  0.11,  0.18,  -  *    -          |                   ,  0.00,  0.28, 56.54
 1,       LLM/exploit,70,  0.12,  0.13,  -- *   --          |                   ,  0.03,  0.46, 28.15
 1,       LLM/exploit,90,  0.12,  0.07,   - * ----          |                   ,  0.05,  0.30, 16.12
 1,       LLM/exploit,35,  0.13,  0.14,   -- *   -          |                   ,  0.03,  0.27, 15.68
 1,       LLM/exploit,55,  0.13,  0.08,  --  *----          |                   ,  0.00,  0.28, 17.54
#
 2,      LLM/explore,110,  0.13,  0.13, ---- *   -------    |                   ,  0.00,  0.45, 101.96
 2,      LLM/exploit,130,  0.13,  0.15,  -   *  ---         |                   ,  0.00,  0.35, 38.98
 2,       LLM/explore,10,  0.15,  0.15, ---- *    -         |                   ,  0.00,  0.32, 16.00
 2,       LLM/explore,65,  0.15,  0.12,   -- *   -------    |                   ,  0.00,  0.55, 15.79
 2,       LLM/exploit,85,  0.15,  0.06,  --- *----          |                   ,  0.00,  0.27, 15.79
 2,        LLM/exploit,5,  0.16,  0.14,  ---  *  -----      |                   ,  0.00,  0.41, 15.82
 2,       LLM/exploit,80,  0.16,  0.07,  --   *---          |                   ,  0.03,  0.27, 16.51
 2,       LLM/exploit,95,  0.16,  0.12,  ---  * ---         |                   ,  0.03,  0.41, 16.45
 2,      LLM/exploit,135,  0.16,  0.13,  --   * ---         |                   ,  0.00,  0.44, 32.84
 2,       LLM/exploit,50,  0.16,  0.13,    -  *  -          |                   ,  0.05,  0.26, 15.88
 2,       LLM/explore,80,  0.16,  0.13,  ---- *    ------   |                   ,  0.00,  0.46, 16.27
 2,       LLM/explore,85,  0.17,  0.14,       *  -          |                   ,  0.00,  0.30, 15.77
 2,      LLM/explore,120,  0.17,  0.13,   --  *   ---       |                   ,  0.00,  0.35, 16.16
#
 3,       LLM/explore,25,  0.19,  0.13,   --   * --         |                   ,  0.05,  0.34, 16.05
 3,       LLM/explore,75,  0.19,  0.09,     -- *  ---       |                   ,  0.00,  0.49, 15.72
 3,      LLM/explore,115,  0.19,  0.16,   --   *  --        |                   ,  0.00,  0.36, 16.08
 3,      LLM/explore,145,  0.19,  0.09,    --- * --         |                   ,  0.06,  0.33, 17.91
 3,      LLM/explore,105,  0.19,  0.14,        *  ----      |                   ,  0.00,  0.42, 16.04
 3,       LLM/explore,15,  0.21,  0.16,   --    * -------   |                   ,  0.00,  0.45, 18.77
 3,       LLM/explore,70,  0.21,  0.11,    ---  * ----      |                   ,  0.05,  0.45, 86.13
 3,      LLM/explore,130,  0.21,  0.17,         *  ----     |                   ,  0.00,  0.40, 77.50
 3,       LLM/explore,50,  0.21,  0.15,    -    * ---       |                   ,  0.00,  0.42, 16.24
