#
 0,       LLM/exploit,10,  0.09,  0.05,  * -                |                   ,  0.05,  0.19, 16.18
 0,       LLM/exploit,15,  0.11,  0.04,   *-                |                   ,  0.05,  0.29, 57.87
 0,       LLM/exploit,20,  0.11,  0.13,   *    ---          |                   ,  0.05,  0.31, 83.71
 0,       LLM/exploit,25,  0.11,  0.03,  -*-                |                   ,  0.05,  0.16, 78.40
 0,       LLM/exploit,40,  0.11,  0.05,   *--               |                   ,  0.05,  0.24, 37.10
 0,       LLM/exploit,60,  0.11,  0.06, - * -               |                   ,  0.05,  0.30, 15.95
 0,       LLM/exploit,90,  0.11,  0.04,  -* --              |                   ,  0.08,  0.23, 29.54
 0,      LLM/exploit,140,  0.11,  0.05, --* --              |                   ,  0.05,  0.21, 16.33
 0,      LLM/exploit,145,  0.11,  0.04,  -* -               |                   ,  0.05,  0.20, 16.20
 0,       LLM/exploit,75,  0.12,  0.04,    *---             |                   ,  0.08,  0.32, 21.88
 0,      LLM/exploit,110,  0.12,  0.06, -  *----            |                   ,  0.05,  0.31, 16.49
 0,        LLM/exploit,5,  0.13,  0.03, -- *                |                   ,  0.05,  0.21, 15.86
 0,       LLM/exploit,55,  0.13,  0.05,  - *--              |                   ,  0.05,  0.22, 17.30
 0,       LLM/exploit,80,  0.13,  0.02,  - *--              |                   ,  0.08,  0.31, 15.95
 0,       LLM/exploit,85,  0.13,  0.04,  - *-               |                   ,  0.05,  0.27, 15.74
 0,      LLM/exploit,130,  0.13,  0.04,  - *--              |                   ,  0.05,  0.32, 16.01
 0,       LLM/explore,30,  0.13,  0.08,    *  ----          |                   ,  0.05,  0.32, 16.32
 0,       LLM/exploit,35,  0.13,  0.03,  - *                |                   ,  0.05,  0.18, 15.89
 0,      LLM/exploit,120,  0.13,  0.08,    *--              |                   ,  0.05,  0.26, 45.75
 0,       LLM/exploit,50,  0.13,  0.04,  - *-               |                   ,  0.08,  0.19, 15.75
#
 1,       LLM/explore,50,  0.13,  0.04,    *--              |                   ,  0.08,  0.33, 16.49
 1,      LLM/exploit,135,  0.13,  0.06,  - * ----           |                   ,  0.05,  0.33, 51.43
 1,      LLM/exploit,150,  0.13,  0.05,  - *---             |                   ,  0.09,  0.29, 16.21
 1,       LLM/exploit,30,  0.14,  0.06,    * --             |                   ,  0.08,  0.32, 16.23
#
 2,       LLM/explore,35,  0.14,  0.08,  - * ---            |                   ,  0.05,  0.27, 15.84
 2,       LLM/exploit,65,  0.14,  0.07, -  *--              |                   ,  0.05,  0.21, 15.84
 2,       LLM/exploit,95,  0.14,  0.05,  - *---             |                   ,  0.05,  0.36, 59.65
 2,      LLM/exploit,125,  0.14,  0.06,  - * -              |                   ,  0.05,  0.24, 16.21
 2,      LLM/exploit,105,  0.14,  0.04,    *---             |                   ,  0.05,  0.27, 15.97
 2,      LLM/explore,115,  0.14,  0.05,  - *--              |                   ,  0.05,  0.24, 16.22
 2,      LLM/explore,135,  0.14,  0.02,   -*-----           |                   ,  0.08,  0.31, 61.79
 2,       LLM/explore,90,  0.14,  0.08,   -*  --            |                   ,  0.09,  0.31, 51.50
 2,       LLM/explore,15,  0.15,  0.04,  -- *---            |                   ,  0.05,  0.24, 15.82
 2,       LLM/explore,25,  0.15,  0.04,   - *--             |                   ,  0.05,  0.25, 138.06
 2,      LLM/explore,110,  0.15,  0.03,   - *-              |                   ,  0.08,  0.27, 72.92
 2,       LLM/explore,10,  0.15,  0.07, --  *--             |                   ,  0.05,  0.28, 16.14
 2,       LLM/exploit,45,  0.15,  0.04,  -- *-              |                   ,  0.05,  0.22, 37.06
 2,       LLM/explore,20,  0.15,  0.08,  -- * ---           |                   ,  0.08,  0.28, 39.42
 2,       LLM/exploit,70,  0.15,  0.04,  -  *-              |                   ,  0.08,  0.22, 30.34
 2,       LLM/explore,75,  0.15,  0.05,  -- *-              |                   ,  0.09,  0.23, 16.02
 2,       LLM/explore,80,  0.15,  0.04,   - *----           |                   ,  0.08,  0.30, 15.97
 2,      LLM/exploit,100,  0.15,  0.04, --  *--             |                   ,  0.05,  0.27, 16.25
 2,      LLM/explore,145,  0.16,  0.07,  -  *---            |                   ,  0.05,  0.28, 16.01
 2,        LLM/explore,5,  0.16,  0.08,     * ---           |                   ,  0.08,  0.27, 16.43
 2,       LLM/explore,60,  0.16,  0.03,   - *-              |                   ,  0.05,  0.25, 15.89
 2,       LLM/explore,65,  0.16,  0.06,  -  *-              |                   ,  0.08,  0.25, 15.69
 2,      LLM/exploit,115,  0.16,  0.06,  -  *--             |                   ,  0.05,  0.23, 16.49
#
 3,      LLM/explore,130,  0.16,  0.07,   - * ---           |                   ,  0.05,  0.32, 15.85
 3,      LLM/explore,140,  0.16,  0.08,  -- * ---           |                   ,  0.05,  0.28, 44.43
 3,       LLM/explore,45,  0.16,  0.06,  -- *-              |                   ,  0.05,  0.22, 15.83
 3,       LLM/explore,95,  0.16,  0.07,  -- * --            |                   ,  0.05,  0.25, 25.30
 3,      LLM/explore,100,  0.16,  0.06,    -* --            |                   ,  0.05,  0.28, 16.10
 3,      LLM/explore,125,  0.16,  0.05,  -- *--             |                   ,  0.05,  0.24, 16.16
 3,       LLM/explore,40,  0.16,  0.06,   --*  ---          |                   ,  0.05,  0.34, 16.45
 3,       LLM/explore,70,  0.17,  0.04,    - *-             |                   ,  0.08,  0.22, 110.48
 3,       LLM/explore,55,  0.17,  0.03,    - *---           |                   ,  0.08,  0.30, 15.93
 3,      LLM/explore,120,  0.17,  0.06,  --- *---           |                   ,  0.05,  0.31, 16.28
 3,      LLM/explore,150,  0.17,  0.05,  --  *--            |                   ,  0.05,  0.33, 16.13
 3,      LLM/explore,105,  0.18,  0.06,  --  *---           |                   ,  0.05,  0.34, 16.05
 3,       LLM/explore,85,  0.19,  0.06,   -- * -            |                   ,  0.08,  0.26, 15.68
#
 4,               rrp,10,  0.23,  0.12,    --  *  --------- |                   ,  0.12,  0.65, 0.54
#
 5,         baseline,500,  0.50,  0.31,       ------       *|    -------        ,  0.05,  1.00, 0.00
