#
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 357.48
#
 1,           exploit,20,  0.00,  0.02, *                   |                   ,  0.00,  0.13, 1.51
 1,    LINEAR/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 3.47
 1,       LLM/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 25.28
 1,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 414.48
 1,           exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 2.15
 1,    LINEAR/exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 3.47
 1,       LLM/exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 25.93
 1,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 422.31
 1,           exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1.17
 1,    LINEAR/exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2.65
#
 2,       LLM/exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 25.44
#
 3,       LLM/explore,20,  0.02,  0.03, * --                |                   ,  0.00,  0.15, 25.25
#
 4,       LLM/explore,25,  0.02,  0.05, * ---               |                   ,  0.00,  0.17, 24.66
 4,            random,30,  0.02,  0.03, *-                  |                   ,  0.00,  0.08, 0.00
 4,    LINEAR/explore,30,  0.02,  0.05, * -                 |                   ,  0.00,  0.10, 1.91
 4,       LLM/explore,30,  0.02,  0.05, * --                |                   ,  0.00,  0.13, 23.89
 4,                rrp,9,  0.03,  0.05,  *-                 |                   ,  0.00,  0.10, 0.51
 4,            random,20,  0.03,  0.02,  *-                 |                   ,  0.00,  0.10, 0.00
#
 5,            random,25,  0.03,  0.02,  *                  |                   ,  0.00,  0.07, 0.00
#
 6,           explore,20,  0.05,  0.03,   *-                |                   ,  0.00,  0.17, 1.85
 6,    LINEAR/explore,20,  0.05,  0.03, - *-                |                   ,  0.00,  0.18, 3.75
#
 7,           explore,25,  0.05,  0.05, - *-                |                   ,  0.00,  0.10, 1.79
 7,    LINEAR/explore,25,  0.05,  0.07, - * -               |                   ,  0.00,  0.17, 3.95
#
 8,           explore,30,  0.05,  0.05, - *--               |                   ,  0.00,  0.13, 2.27
#
 9,         baseline,192,  0.22,  0.38,   ---   *           |--------           ,  0.00,  1.00, 0.00
