#
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 370.32
 0,       LLM/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 52.77
 0,    LINEAR/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 15.52
 0,       LLM/explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.03, 52.41
 0,    LINEAR/explore,20,  0.01,  0.01, *                   |                   ,  0.00,  0.03, 16.21
 0,               rrp,13,  0.01,  0.01, *                   |                   ,  0.00,  0.02, 11.75
 0,            random,20,  0.01,  0.00, *                   |                   ,  0.00,  0.02, 0.00
 0,           explore,20,  0.01,  0.01, *                   |                   ,  0.00,  0.05, 1.75
 0,           exploit,20,  0.01,  0.01, *                   |                   ,  0.00,  0.04, 2.48
 0,        baseline,3456,  0.03,  0.03, -*---------------   |                   ,  0.00,  0.73, 0.02
