#
 0,           UCB_GPM,30,  0.39,  0.06, *   -----           |                   ,  0.39,  0.56, 432.68
#
 1,           UCB_GPM,20,  0.45,  0.12, ----*       ---     |                   ,  0.39,  0.63, 272.83
 1,           UCB_GPM,25,  0.45,  0.08,     *---------      |                   ,  0.39,  0.63, 336.72
#
 2,    LINEAR/exploit,20,  0.49,  0.03,     --* --------    |                   ,  0.39,  0.63, 3.84
 2,       LLM/exploit,20,  0.49,  0.09,       *  --         |                   ,  0.45,  0.60, 20.19
 2,    LINEAR/exploit,25,  0.49,  0.03, ------* --------    |                   ,  0.39,  0.69, 2.61
 2,       LLM/exploit,25,  0.49,  0.15,       *             |                   ,  0.39,  0.63, 18.73
#
 3,    LINEAR/exploit,30,  0.49,  0.07,     - *  -------    |                   ,  0.45,  0.63, 1.19
 3,           exploit,20,  0.52,  0.09,      -  *   ----    |                   ,  0.39,  0.63, 1.38
 3,           exploit,25,  0.52,  0.08, ------  *   ----    |                   ,  0.39,  0.63, 1.44
 3,           exploit,30,  0.52,  0.07,         *  -------- |                   ,  0.39,  0.69, 1.86
 3,           explore,30,  0.52,  0.07, -----   *--------   |                   ,  0.39,  0.66, 1.53
 3,       LLM/exploit,30,  0.52,  0.07,     --  *  ---      |                   ,  0.39,  0.60, 18.65
#
 4,            random,25,  0.53,  0.08,     --   *  ----    |                   ,  0.39,  0.64, 0.00
 4,            random,30,  0.53,  0.02,     ---- *---       |                   ,  0.39,  0.63, 0.00
 4,           explore,20,  0.53,  0.14,     --   *     -    |                   ,  0.39,  0.64, 1.38
 4,    LINEAR/explore,30,  0.54,  0.07,      ----*    --    |                   ,  0.45,  0.65, 1.79
 4,    LINEAR/explore,20,  0.55,  0.08,     --    * ----    |                   ,  0.45,  0.69, 3.85
 4,           explore,25,  0.56,  0.07,      ---   *-----   |                   ,  0.39,  0.66, 1.12
 4,    LINEAR/explore,25,  0.57,  0.04,      ------*        |                   ,  0.45,  0.65, 1.80
#
 5,            random,20,  0.58,  0.06,       ---   * --    |                   ,  0.39,  0.63, 0.00
 5,       LLM/explore,30,  0.58,  0.07,     -----   * -     |                   ,  0.45,  0.63, 17.92
 5,       LLM/explore,20,  0.59,  0.08,     ----    * -     |                   ,  0.39,  0.63, 19.46
#
 6,       LLM/explore,25,  0.60,  0.01,       ------- *-    |                   ,  0.45,  0.63, 18.54
#
 7,                rrp,9,  0.63,  0.10,         ---    * ---|-----              ,  0.45,  0.99, 0.12
#
 8,         baseline,196,  0.74,  0.11,              ------ |  *   ------------ ,  0.39,  1.00, 0.00
