#
 0,    LINEAR/exploit,20,  0.47,  0.14, *         ------    |                   ,  0.47,  0.73, 2.48
 0,    LINEAR/exploit,30,  0.47,  0.00, *---------          |                   ,  0.47,  0.71, 3.20
 0,           exploit,20,  0.50,  0.10,   *    ---          |                   ,  0.47,  0.64, 1.32
#
 1,    LINEAR/exploit,25,  0.50,  0.14,   *                 |                   ,  0.47,  0.71, 1.45
 1,            random,30,  0.52,  0.09, -  *     ---        |                   ,  0.47,  0.66, 0.00
#
 2,    LINEAR/explore,20,  0.56,  0.07,  --   *  --         |                   ,  0.47,  0.63, 3.13
 2,    LINEAR/explore,30,  0.56,  0.08, ---   *   -         |                   ,  0.47,  0.64, 2.74
#
 3,            random,20,  0.59,  0.09,  ---    *  --       |                   ,  0.50,  0.67, 0.00
 3,           explore,20,  0.59,  0.11,  --     *   --      |                   ,  0.50,  0.72, 1.39
 3,            random,25,  0.59,  0.07, ----    *--         |                   ,  0.47,  0.65, 0.00
 3,           explore,30,  0.59,  0.06,   ----  * -------   |                   ,  0.47,  0.77, 2.50
 3,           exploit,25,  0.59,  0.14,          *----      |                   ,  0.47,  0.71, 1.94
 3,           explore,25,  0.60,  0.09,      -   *   ----   |                   ,  0.50,  0.75, 1.13
 3,       LLM/exploit,20,  0.61,  0.11, --        *         |                   ,  0.47,  0.61, 18.03
 3,       LLM/explore,20,  0.61,  0.07,  -----    *         |                   ,  0.47,  0.63, 18.14
 3,           UCB_GPM,25,  0.61,  0.01,        ---*         |                   ,  0.50,  0.64, 307.33
 3,    LINEAR/explore,25,  0.61,  0.06,  -----    *         |                   ,  0.47,  0.65, 2.14
 3,       LLM/exploit,25,  0.61,  0.11, -         *         |                   ,  0.47,  0.61, 19.17
 3,       LLM/explore,25,  0.61,  0.03,       --  *--       |                   ,  0.50,  0.65, 18.36
 3,           UCB_GPM,30,  0.61,  0.07,    ---    *         |                   ,  0.47,  0.63, 411.81
 3,           exploit,30,  0.61,  0.14,           *------   |                   ,  0.47,  0.75, 1.89
#
 4,       LLM/exploit,30,  0.61,  0.11, --        *         |                   ,  0.47,  0.61, 18.04
 4,       LLM/explore,30,  0.61,  0.02,        ---*         |                   ,  0.50,  0.65, 18.19
 4,           UCB_GPM,20,  0.63,  0.02,       ---- *        |                   ,  0.53,  0.63, 312.24
 4,                rrp,9,  0.64,  0.11,    -------- *      -|-----------------  ,  0.47,  1.00, 0.25
#
 5,         baseline,196,  0.76,  0.13,           --------  |*      ----------- ,  0.47,  1.00, 0.00
