#
 0,           UCB_GPM,20,  0.30,  0.14, *                   |                   ,  0.30,  0.44, 281.42
 0,    LINEAR/exploit,20,  0.30,  0.00, *-------            |                   ,  0.30,  0.78, 3.39
 0,       LLM/exploit,20,  0.30,  0.00, *                   |                   ,  0.30,  0.44, 20.69
 0,       LLM/explore,20,  0.30,  0.14, *                   |                   ,  0.30,  0.45, 19.76
 0,           UCB_GPM,25,  0.30,  0.00, *-------            |                   ,  0.30,  0.44, 313.27
 0,           exploit,25,  0.30,  0.16, *       ---         |                   ,  0.30,  0.51, 2.38
 0,    LINEAR/exploit,25,  0.30,  0.00, *-------            |                   ,  0.30,  0.45, 3.00
 0,       LLM/exploit,25,  0.30,  0.00, *-------            |                   ,  0.30,  0.44, 19.27
 0,            random,30,  0.30,  0.17, *        --------   |                   ,  0.30,  0.67, 0.00
 0,           UCB_GPM,30,  0.30,  0.00, *-------            |                   ,  0.30,  0.44, 399.06
 0,           exploit,30,  0.30,  0.00, *-------            |                   ,  0.30,  0.44, 2.64
 0,    LINEAR/exploit,30,  0.30,  0.00, *                   |                   ,  0.30,  0.30, 3.58
 0,       LLM/exploit,30,  0.30,  0.00, *                   |                   ,  0.30,  0.44, 19.62
#
 1,           exploit,20,  0.44,  0.14,         *-----------|------             ,  0.30,  0.99, 2.06
 1,    LINEAR/explore,20,  0.44,  0.21,         *   --------|--                 ,  0.30,  0.75, 4.89
 1,            random,25,  0.44,  0.21,         *   ----    |                   ,  0.30,  0.67, 0.00
 1,       LLM/explore,25,  0.44,  0.14,         *---        |                   ,  0.30,  0.65, 19.59
 1,    LINEAR/explore,30,  0.44,  0.21,         *   --------|-                  ,  0.30,  0.72, 2.79
#
 2,       LLM/explore,30,  0.44,  0.14,         *---        |                   ,  0.30,  0.92, 20.81
 2,            random,20,  0.44,  0.21,         *   --------|                   ,  0.30,  0.70, 0.00
 2,    LINEAR/explore,25,  0.44,  0.21,         *   --------|-                  ,  0.30,  0.72, 3.81
#
 3,                rrp,9,  0.51,  0.27, --------    *       |  ---------        ,  0.30,  0.91, 0.43
 3,           explore,25,  0.60,  0.21,         ----     *  |  -----------      ,  0.30,  0.93, 2.18
 3,           explore,30,  0.70,  0.32, -----------         | *      -----      ,  0.30,  0.95, 2.72
#
 4,           explore,20,  0.75,  0.29,            ------   |     *      ---    ,  0.30,  0.93, 2.64
#
 5,         baseline,259,  0.95,  0.12,                  ---|----------     * - ,  0.30,  1.00, 0.00
