#
 0,       LLM/exploit,20,  0.05,  0.03, *--------------     |                   ,  0.03,  0.63, 42.56
 0,    LINEAR/exploit,20,  0.07,  0.21, -*       -----      |                   ,  0.03,  0.82, 25.80
 0,           UCB_GPM,20,  0.08,  0.03, -*-                 |                   ,  0.03,  0.10, 294.43
 0,       LLM/explore,20,  0.10,  0.03, - *--------------   |                   ,  0.04,  0.74, 38.94
 0,               rrp,13,  0.10,  0.03,   -*----------------|-------            ,  0.04,  0.95, 8.39
 0,    LINEAR/explore,20,  0.11,  0.31,  - *           -----|                   ,  0.04,  0.83, 19.79
#
 1,            random,20,  0.12,  0.15,   -*     ---        |                   ,  0.05,  0.43, 0.00
 1,           exploit,20,  0.25,  0.35, -        *     -----|-----------        ,  0.04,  0.83, 4.41
#
 2,           explore,20,  0.42,  0.15,   --------      *---|-----------        ,  0.06,  0.84, 4.28
#
 3,        baseline,3840,  0.85,  0.04,                     |            * ---- ,  0.79,  1.00, 0.03
