#
 0,       LLM/exploit,25,  0.05,  0.09, -*   ------         |                   ,  0.03,  0.44, 41.72
 0,       LLM/exploit,20,  0.07,  0.12, -*    ------------  |                   ,  0.02,  0.48, 40.64
 0,       LLM/explore,30,  0.07,  0.10,  *   --------       |                   ,  0.05,  0.36, 37.55
 0,           UCB_GPM,30,  0.08,  0.03,   *--               |                   ,  0.05,  0.24, 364.94
 0,       LLM/exploit,30,  0.08,  0.09, - * --------        |                   ,  0.03,  0.45, 36.81
 0,       LLM/explore,25,  0.08,  0.10,   *   ------------  |                   ,  0.02,  0.47, 42.56
 0,           UCB_GPM,25,  0.09,  0.06,   * -----           |                   ,  0.05,  0.31, 318.68
#
 1,    LINEAR/exploit,25,  0.14,  0.13,  ---*    ---------  |                   ,  0.03,  0.47, 20.04
 1,           UCB_GPM,20,  0.15,  0.08,  --  *--            |                   ,  0.03,  0.24, 290.96
 1,           exploit,30,  0.16,  0.30, --   *        ----  |                   ,  0.02,  0.48, 3.99
 1,       LLM/explore,20,  0.17,  0.13,       *-            |                   ,  0.05,  0.26, 39.78
 1,    LINEAR/exploit,20,  0.19,  0.23, --    *    ------   |                   ,  0.02,  0.51, 19.51
 1,    LINEAR/exploit,30,  0.21,  0.16, ----   *   -------- |                   ,  0.03,  0.50, 14.74
 1,            random,20,  0.22,  0.31, --      *      ---  |                   ,  0.02,  0.53, 0.00
#
 2,               rrp,12,  0.24,  0.24,   ------*        ---|-                  ,  0.03,  0.58, 6.40
 2,           explore,25,  0.25,  0.23,     -    *    ------|-                  ,  0.06,  0.73, 4.17
 2,            random,30,  0.25,  0.09,    ---   *--------  |                   ,  0.06,  0.50, 0.00
 2,            random,25,  0.29,  0.19,    -----  *     --- |                   ,  0.07,  0.51, 0.00
 2,           exploit,25,  0.30,  0.23,      --    *     ---|-                  ,  0.07,  0.72, 3.92
 2,           explore,30,  0.30,  0.22,     ---    *   -----|-----              ,  0.06,  0.68, 4.06
 2,           exploit,20,  0.32,  0.18,     --      * ----  |                   ,  0.03,  0.56, 4.00
#
 3,    LINEAR/explore,30,  0.32,  0.26,     --      *   ----|--                 ,  0.05,  0.62, 13.40
 3,    LINEAR/explore,25,  0.38,  0.23,     ----      *  ---|                   ,  0.07,  0.73, 20.01
 3,           explore,20,  0.39,  0.19,     -------   *    -|-                  ,  0.06,  0.72, 4.32
 3,    LINEAR/explore,20,  0.40,  0.20,    --------    *   -|-------            ,  0.03,  0.71, 18.35
#
 4,        baseline,2880,  0.94,  0.05,                     |             -- *- ,  0.61,  1.00, 0.03
