#
 0,           UCB_GPM,20,  0.17,  0.04,   - *---            |                   ,  0.11,  0.26, 298.62
 0,       LLM/exploit,20,  0.18,  0.10,   - *  -            |                   ,  0.12,  0.28, 326.88
#
 1,       LLM/explore,20,  0.19,  0.08,    - * -            |                   ,  0.10,  0.29, 326.08
 1,            random,20,  0.21,  0.09,   --  * -           |                   ,  0.12,  0.29, 0.00
#
 2,    LINEAR/exploit,20,  0.25,  0.00,    ----*            |                   ,  0.12,  0.26, 278.23
 2,    LINEAR/explore,20,  0.25,  0.08,   --   *            |                   ,  0.07,  0.28, 275.50
 2,           exploit,20,  0.26,  0.00,         *           |                   ,  0.15,  0.29, 11.45
 2,               rrp,17,  0.26,  0.22,   --    *    -------|                   ,  0.07,  1.00, 282.39
#
 3,           explore,20,  0.27,  0.03,     --- *---        |                   ,  0.13,  0.36, 11.53
#
 4,       baseline,53662,  0.37,  0.02,            - *      |                   ,  0.14,  0.64, 0.19
