#
 0,    LINEAR/exploit,20,  0.17,  0.02, *                   |                   ,  0.17,  0.49, 6.25
 0,           UCB_GPM,20,  0.17,  0.04, *-                  |                   ,  0.17,  0.22, 355.30
 0,       LLM/exploit,20,  0.19,  0.02,  *                  |                   ,  0.17,  0.44, 28.94
#
 1,           exploit,20,  0.21,  0.03,  *------------------|--                 ,  0.17,  0.94, 1.29
 1,               rrp,11,  0.22,  0.03, - *------------     |                   ,  0.17,  0.70, 2.23
 1,            random,20,  0.22,  0.02, --*----------       |                   ,  0.17,  0.47, 0.00
#
 2,       LLM/explore,20,  0.39,  0.34,  --       *        -|------             ,  0.19,  0.76, 26.21
 2,           explore,20,  0.44,  0.38, --           *      |--------           ,  0.17,  1.00, 1.41
 2,    LINEAR/explore,20,  0.46,  0.43, --            *     |  -----            ,  0.17,  0.89, 5.48
#
 3,        baseline,1023,  0.83,  0.47,    --------------   |           *       ,  0.17,  1.00, 0.00
