#
 0,       LLM/exploit,20,  0.06,  0.01, *----------         |                   ,  0.05,  0.31, 41.62
 0,    LINEAR/exploit,20,  0.06,  0.15, *      ----         |                   ,  0.05,  0.38, 16.21
 0,           UCB_GPM,20,  0.06,  0.01, *                   |                   ,  0.05,  0.08, 357.83
 0,               rrp,12,  0.07,  0.03,  *                  |                   ,  0.05,  0.11, 8.37
 0,            random,20,  0.07,  0.03,  *------            |                   ,  0.05,  0.28, 0.00
 0,    LINEAR/explore,20,  0.07,  0.05,  *----------------  |                   ,  0.05,  0.59, 12.28
 0,       LLM/explore,20,  0.08,  0.02,  *---------         |                   ,  0.05,  0.37, 38.60
#
 1,           exploit,20,  0.18,  0.13,       *--           |                   ,  0.05,  0.26, 2.15
#
 2,           explore,20,  0.24,  0.21, --      *   ------- |                   ,  0.05,  0.62, 1.69
#
 3,        baseline,2736,  0.29,  0.11,  -------   * -------|-------            ,  0.05,  0.91, 0.02
