#
 0,    LINEAR/exploit,20,  0.20,  0.04,     *---------      |                   ,  0.15,  0.41, 14.30
 0,       LLM/exploit,20,  0.21,  0.03,     *-              |                   ,  0.18,  0.23, 42.30
#
 1,           exploit,20,  0.22,  0.02,    - *------        |                   ,  0.15,  0.36, 1.70
 1,           UCB_GPM,20,  0.22,  0.03,   -  *-             |                   ,  0.15,  0.26, 367.76
#
 2,       LLM/explore,20,  0.23,  0.05,     - * ------      |                   ,  0.14,  0.41, 42.68
 2,            random,20,  0.23,  0.02,       *             |                   ,  0.20,  0.27, 0.00
 2,           explore,20,  0.23,  0.04,    -  *-------      |                   ,  0.14,  0.36, 1.75
 2,               rrp,13,  0.23,  0.11,     - *     --      |                   ,  0.14,  0.51, 9.92
 2,    LINEAR/explore,20,  0.23,  0.10,     - *    ---      |                   ,  0.14,  0.36, 13.05
#
 3,        baseline,3008,  0.41,  0.31,                   * |              --   ,  0.36,  0.74, 0.01
