#
 0,       LLM/exploit,20,  0.00,  0.00, *--                 |                   ,  0.00,  0.04, 49.86
 0,       LLM/explore,25,  0.00,  0.00, *--                 |                   ,  0.00,  0.08, 48.43
 0,       LLM/exploit,25,  0.00,  0.00, *-----              |                   ,  0.00,  0.05, 48.74
 0,           UCB_GPM,20,  0.01,  0.00, *                   |                   ,  0.00,  0.01, 303.75
 0,       LLM/explore,20,  0.01,  0.02, *  ----------       |                   ,  0.00,  0.10, 48.17
 0,           UCB_GPM,25,  0.01,  0.00, *                   |                   ,  0.00,  0.01, 337.98
 0,           UCB_GPM,30,  0.01,  0.00, *                   |                   ,  0.00,  0.01, 348.47
 0,       LLM/exploit,30,  0.01,  0.00, *-                  |                   ,  0.00,  0.03, 38.04
 0,    LINEAR/exploit,20,  0.01,  0.00, *--                 |                   ,  0.00,  0.03, 23.23
 0,    LINEAR/exploit,25,  0.01,  0.01, *---                |                   ,  0.00,  0.04, 25.02
#
 1,           exploit,30,  0.01,  0.01, * ---------         |                   ,  0.00,  0.08, 4.70
 1,            random,30,  0.01,  0.02, *  ---              |                   ,  0.00,  0.06, 0.00
 1,           exploit,25,  0.02,  0.04,   *  -              |                   ,  0.00,  0.06, 5.16
 1,    LINEAR/exploit,30,  0.02,  0.02,   *---              |                   ,  0.00,  0.08, 16.03
 1,    LINEAR/explore,25,  0.02,  0.03,    * --             |                   ,  0.00,  0.05, 26.22
#
 2,            random,25,  0.03,  0.02,    *---             |                   ,  0.00,  0.08, 0.00
 2,    LINEAR/explore,20,  0.03,  0.03,    *  ----          |                   ,  0.00,  0.08, 23.16
 2,            random,20,  0.03,  0.02, ---*  ------        |                   ,  0.00,  0.12, 0.00
 2,           exploit,20,  0.03,  0.03,     * -------       |                   ,  0.00,  0.14, 3.40
 2,       LLM/explore,30,  0.03,  0.05,     *   ----        |                   ,  0.00,  0.10, 35.73
 2,           explore,30,  0.03,  0.03,  -  *  -------      |                   ,  0.00,  0.15, 3.93
#
 3,    LINEAR/explore,30,  0.04,  0.02,   -   *------       |                   ,  0.00,  0.09, 15.48
 3,           explore,25,  0.04,  0.06, ---   *      -------|------             ,  0.00,  0.25, 5.00
 3,           explore,20,  0.05,  0.03, ---   *------       |                   ,  0.00,  0.17, 2.23
 3,               rrp,13,  0.05,  0.02, ----   *--          |                   ,  0.00,  0.07, 7.97
#
 4,        baseline,3840,  0.15,  0.04,  -----------------  |   *               ,  0.00,  0.21, 0.04
