#
 0,           UCB_GPM,20,  0.04,  0.01, *                   |                   ,  0.04,  0.06, 363.43
 0,       LLM/exploit,20,  0.04,  0.01, *----               |                   ,  0.04,  0.13, 45.55
#
 1,       LLM/explore,20,  0.05,  0.02,  *-                 |                   ,  0.04,  0.11, 47.98
 1,    LINEAR/exploit,20,  0.05,  0.03,  *---               |                   ,  0.04,  0.10, 22.54
#
 2,               rrp,13,  0.06,  0.06,  *   ----           |                   ,  0.04,  0.52, 13.75
 2,            random,20,  0.07,  0.03, - *--               |                   ,  0.04,  0.11, 0.00
#
 3,    LINEAR/explore,20,  0.09,  0.03, --  *--             |                   ,  0.04,  0.15, 20.61
#
 4,           exploit,20,  0.09,  0.06,     *---            |                   ,  0.04,  0.17, 2.24
#
 5,           explore,20,  0.12,  0.08,       *--           |                   ,  0.04,  0.18, 1.82
#
 6,        baseline,5184,  0.13,  0.04,      -  *---        |                   ,  0.08,  0.27, 0.03
