#
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 390.33
#
 1,            random,20,  0.22,  0.23,           *    ---  |                   ,  0.06,  0.40, 0.00
 1,       LLM/exploit,20,  0.23,  0.05,  ---------* ----    |                   ,  0.02,  0.38, 65.64
#
 2,    LINEAR/exploit,20,  0.25,  0.11,          - *        |                   ,  0.07,  0.66, 28.45
 2,           exploit,20,  0.25,  0.05,          --* ----   |                   ,  0.04,  0.40, 2.32
#
 3,       LLM/explore,20,  0.27,  0.12,     ------- *   --- |                   ,  0.07,  0.46, 61.91
 3,               rrp,14,  0.28,  0.12,  ----------  *   -- |                   ,  0.02,  0.42, 20.59
#
 4,           explore,20,  0.34,  0.05,     -----------* -  |                   ,  0.03,  0.70, 2.27
 4,    LINEAR/explore,20,  0.35,  0.13,     -------     *---|                   ,  0.03,  0.47, 28.63
#
 5,        baseline,6840,  0.55,  0.37,   ----------        |    *    --        ,  0.00,  0.86, 0.03
