#
 0,           UCB_GPM,20,  0.13,  0.00,  *                  |                   ,  0.13,  0.13, 416.29
#
 1,       LLM/exploit,20,  0.13,  0.00,  *------------      |                   ,  0.13,  0.38, 277.42
#
 2,       LLM/explore,20,  0.30,  0.28,             *      -|-                  ,  0.13,  0.59, 272.30
#
 3,    LINEAR/exploit,20,  0.31,  0.07,              * -    |                   ,  0.22,  0.49, 241.03
#
 4,           exploit,20,  0.35,  0.06,            -   *----|                   ,  0.21,  0.47, 12.23
#
 5,    LINEAR/explore,20,  0.40,  0.08,               --- * | --                ,  0.26,  0.50, 239.52
 5,            random,20,  0.40,  0.07,               -   * |-                  ,  0.30,  0.47, 0.00
 5,           explore,20,  0.42,  0.13,             -----   *    --             ,  0.24,  0.60, 12.21
#
 6,       baseline,65536,  0.44,  0.10,              ----   *   ---             ,  0.10,  0.68, 0.25
 6,               rrp,17,  0.47,  0.15,                ---  | *     ----------- ,  0.27,  0.75, 163.26
