#
 0,           UCB_GPM,20,  0.04,  0.00,   *                 |                   ,  0.04,  0.04, 768.09
 0,           UCB_GPM,25,  0.04,  0.00,  -*                 |                   ,  0.01,  0.04, 346.17
#
 1,           UCB_GPM,30,  0.04,  0.00,  -*                 |                   ,  0.01,  0.04, 375.96
#
 2,       LLM/exploit,25,  0.23,  0.04,    --------- *------|-                  ,  0.01,  0.42, 276.97
#
 3,       LLM/exploit,20,  0.24,  0.03,      ------- *------|--                 ,  0.04,  0.42, 286.55
 3,       LLM/exploit,30,  0.25,  0.02,      -------- *-----|-                  ,  0.00,  0.38, 274.45
#
 4,    LINEAR/exploit,25,  0.26,  0.14,             - *     |---                ,  0.22,  0.47, 239.28
 4,           exploit,30,  0.27,  0.13,              - *    | ----              ,  0.22,  0.48, 28.31
#
 5,               rrp,17,  0.28,  0.15,              -  *   |  -                ,  0.23,  0.43, 164.47
 5,            random,20,  0.29,  0.11,              ---*   | ---               ,  0.22,  0.45, 0.00
 5,            random,30,  0.29,  0.07,               - *  -|----               ,  0.24,  0.47, 0.00
#
 6,            random,25,  0.31,  0.13,                -  * |  --               ,  0.24,  0.46, 0.00
 6,       LLM/explore,20,  0.35,  0.19,      ----------     *     -             ,  0.00,  0.52, 284.92
 6,       LLM/explore,30,  0.36,  0.19,      ----------     |*    ---           ,  0.00,  0.53, 277.04
 6,           exploit,20,  0.36,  0.17,               -     |*   -              ,  0.21,  0.69, 49.49
 6,    LINEAR/exploit,30,  0.36,  0.11,             ---     |*---               ,  0.22,  0.64, 242.10
 6,    LINEAR/exploit,20,  0.37,  0.14,              -      |*---               ,  0.07,  0.44, 402.67
 6,           exploit,25,  0.39,  0.13,              ---    | * --              ,  0.22,  0.47, 21.88
#
 7,    LINEAR/explore,20,  0.43,  0.08,               ------|-  *  --           ,  0.24,  0.51, 250.78
 7,       LLM/explore,25,  0.43,  0.19,               --    |   *  ----         ,  0.01,  0.57, 278.10
 7,    LINEAR/explore,30,  0.43,  0.09,               ------|-   * ---          ,  0.23,  0.53, 247.71
 7,    LINEAR/explore,25,  0.44,  0.02,                -----|--- *-             ,  0.25,  0.51, 237.83
 7,           explore,30,  0.46,  0.08,                  ---|--   * -           ,  0.26,  0.52, 27.72
 7,           explore,20,  0.47,  0.02,                     |  --- *---         ,  0.28,  0.60, 51.24
 7,           explore,25,  0.47,  0.07,                 ----|---   *------      ,  0.26,  0.60, 21.66
 7,       baseline,86058,  0.47,  0.06,                 ----|----  * ---        ,  0.04,  0.61, 0.41
