#
 0,       LLM/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.20, 47.23
 0,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.03, 441.05
 0,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 349.79
 0,       LLM/exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.21, 38.87
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 384.02
 0,       LLM/exploit,25,  0.00,  0.01, *                   |                   ,  0.00,  0.20, 47.98
 0,    LINEAR/exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.20, 5.63
 0,           exploit,20,  0.00,  0.01, *-------------      |                   ,  0.00,  0.21, 2.79
 0,           exploit,25,  0.00,  0.01, *-------------      |                   ,  0.00,  0.20, 4.50
 0,    LINEAR/exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.43, 13.04
 0,           exploit,30,  0.00,  0.01, *-------------      |                   ,  0.00,  0.21, 1.83
 0,    LINEAR/exploit,20,  0.00,  0.00, *-------------      |                   ,  0.00,  0.43, 10.66
#
 1,               rrp,11,  0.01,  0.03, * ---               |                   ,  0.00,  0.11, 2.98
 1,            random,20,  0.01,  0.02,  *-                 |                   ,  0.00,  0.05, 0.00
 1,            random,30,  0.01,  0.01,  *                  |                   ,  0.00,  0.04, 0.00
#
 2,            random,25,  0.02,  0.02,  *                  |                   ,  0.00,  0.06, 0.00
#
 3,       LLM/explore,20,  0.03,  0.03,  *-                 |                   ,  0.00,  0.06, 47.06
 3,    LINEAR/explore,25,  0.03,  0.04,  * -------------    |                   ,  0.00,  0.24, 12.29
#
 4,           explore,30,  0.03,  0.03, - *----             |                   ,  0.00,  0.30, 1.82
 4,       LLM/explore,30,  0.03,  0.03, - *-                |                   ,  0.00,  0.07, 39.27
#
 5,    LINEAR/explore,30,  0.04,  0.09, -  *    ------------|                   ,  0.00,  0.41, 6.07
 5,           explore,25,  0.04,  0.04, -  *--              |                   ,  0.00,  0.20, 3.21
 5,    LINEAR/explore,20,  0.05,  0.06, -- *  --------------|-                  ,  0.00,  0.33, 12.00
 5,       LLM/explore,25,  0.06,  0.05, -   *--             |                   ,  0.00,  0.11, 47.88
#
 6,           explore,20,  0.07,  0.07,  --  *  ------------|---------          ,  0.01,  0.50, 2.56
 6,        baseline,1152,  0.07,  0.06,  --  * -------------|-------            ,  0.00,  0.57, 0.02
