#
 0,    LINEAR/exploit,20,  0.25,  0.00, *---------          |                   ,  0.25,  0.71, 2.92
 0,       LLM/exploit,20,  0.25,  0.20, *         ---       |                   ,  0.25,  0.50, 23.41
 0,    LINEAR/exploit,25,  0.25,  0.07, *  ---------------- |                   ,  0.25,  0.75, 4.16
 0,       LLM/exploit,25,  0.25,  0.20, *         ---       |                   ,  0.25,  0.57, 24.29
#
 1,    LINEAR/exploit,30,  0.25,  0.00, *------------       |                   ,  0.25,  0.50, 3.66
#
 2,       LLM/exploit,30,  0.25,  0.25, *                   |                   ,  0.25,  0.54, 23.19
 2,           UCB_GPM,20,  0.37,  0.20,       *   ---       |                   ,  0.25,  0.50, 329.48
 2,           UCB_GPM,25,  0.37,  0.20,       *   ---       |                   ,  0.25,  0.51, 364.03
 2,           UCB_GPM,30,  0.37,  0.12,       *---          |                   ,  0.25,  0.50, 429.28
#
 3,            random,20,  0.39,  0.14,    --  *            |                   ,  0.25,  0.50, 0.00
 3,    LINEAR/explore,25,  0.39,  0.14, -----  *     -      |                   ,  0.25,  0.58, 5.51
#
 4,            random,30,  0.41,  0.13, ------  *           |                   ,  0.25,  0.52, 0.00
 4,           exploit,30,  0.41,  0.25,         *    -------|-----              ,  0.25,  0.75, 2.33
 4,           exploit,20,  0.45,  0.18, ---       *  -------|-----              ,  0.25,  0.75, 1.14
 4,    LINEAR/explore,20,  0.45,  0.11,    ----   *  ---    |                   ,  0.25,  0.61, 3.70
#
 5,       LLM/explore,20,  0.45,  0.17, ----      *         |                   ,  0.25,  0.62, 24.16
 5,           exploit,25,  0.45,  0.25,           *  -------|-----              ,  0.25,  0.75, 1.94
 5,       LLM/explore,25,  0.45,  0.08, ------    *------   |                   ,  0.25,  0.61, 23.97
 5,               rrp,10,  0.50,  0.07,            --*   ---|-----              ,  0.38,  0.75, 0.82
 5,           explore,20,  0.50,  0.05, ----------   *----  |                   ,  0.25,  0.71, 0.93
 5,            random,25,  0.50,  0.10,       --     *      |                   ,  0.25,  0.50, 0.00
 5,           explore,25,  0.50,  0.05,        ---   *------|-----              ,  0.25,  0.75, 1.27
#
 6,           explore,30,  0.50,  0.05, ----------   *----- |                   ,  0.25,  0.75, 2.24
 6,    LINEAR/explore,30,  0.50,  0.10,      ---     *      |                   ,  0.25,  0.75, 3.53
 6,       LLM/explore,30,  0.50,  0.18, ---          *      |                   ,  0.25,  0.57, 23.36
#
 7,         baseline,398,  0.75,  0.16,              -----  |     *-------------,  0.25,  1.00, 0.00
