#
 0,           UCB_GPM,20,  0.09,  0.01, *                   |                   ,  0.08,  0.10, 292.45
#
 1,       LLM/exploit,20,  0.15,  0.02,   *----             |                   ,  0.08,  0.26, 70.97
#
 2,    LINEAR/exploit,20,  0.17,  0.11, -- *   -----        |                   ,  0.08,  0.40, 8.70
#
 3,               rrp,10,  0.26,  0.30, -      *       -----|--------           ,  0.08,  1.00, 1.70
 3,           exploit,20,  0.27,  0.20,   ---  *      ------|                   ,  0.10,  0.58, 2.94
#
 4,    LINEAR/explore,20,  0.27,  0.20, ------  *     ----  |                   ,  0.09,  0.62, 9.78
 4,            random,20,  0.28,  0.16,    ---- *      --   |                   ,  0.08,  0.51, 0.00
 4,       LLM/explore,20,  0.28,  0.00,       --*           |                   ,  0.09,  0.28, 67.22
#
 5,           explore,20,  0.37,  0.12,   ------    *--     |                   ,  0.12,  0.43, 3.43
#
 6,         baseline,500,  0.70,  0.20,               ------|-     *   ---------,  0.08,  1.00, 0.00
