#
 0,    LINEAR/exploit,25,  0.06,  0.04, --*-------          |                   ,  0.00,  0.27, 10.12
 0,           UCB_GPM,25,  0.10,  0.06,  --*  -             |                   ,  0.03,  0.19, 349.00
 0,           UCB_GPM,30,  0.10,  0.04,  - *---             |                   ,  0.03,  0.19, 337.32
 0,           exploit,30,  0.10,  0.04,  -  *-              |                   ,  0.03,  0.24, 4.54
 0,    LINEAR/exploit,20,  0.10,  0.07,  -  *-----          |                   ,  0.03,  0.45, 11.56
 0,       LLM/exploit,25,  0.10,  0.07,   - * ----          |                   ,  0.03,  0.28, 69.60
 0,            random,30,  0.10,  0.14,     *   --          |                   ,  0.03,  0.30, 0.00
 0,    LINEAR/exploit,30,  0.10,  0.10,  -  * ----          |                   ,  0.00,  0.30, 4.42
 0,       LLM/exploit,20,  0.11,  0.07,  -- * ---           |                   ,  0.00,  0.27, 73.04
#
 1,       LLM/explore,30,  0.11,  0.21, -   *    -          |                   ,  0.00,  0.28, 66.07
 1,           explore,30,  0.12,  0.18,   --*      ---      |                   ,  0.05,  0.39, 4.41
 1,       LLM/exploit,30,  0.12,  0.07,   - * -----         |                   ,  0.00,  0.30, 63.22
 1,           UCB_GPM,20,  0.15,  0.09,      *              |                   ,  0.03,  0.19, 281.99
 1,    LINEAR/explore,20,  0.15,  0.18,   -- *              |                   ,  0.00,  0.45, 12.10
 1,    LINEAR/explore,30,  0.15,  0.15,  --   *  ----       |                   ,  0.00,  0.35, 4.47
 1,       LLM/explore,20,  0.16,  0.16, ---   *             |                   ,  0.00,  0.28, 72.01
#
 2,    LINEAR/explore,25,  0.16,  0.14,   --  *  --         |                   ,  0.00,  0.30, 8.24
 2,       LLM/explore,25,  0.16,  0.14,    -  *             |                   ,  0.00,  0.25, 74.46
 2,           exploit,20,  0.16,  0.05,    ---* -----       |                   ,  0.03,  0.36, 4.00
 2,            random,25,  0.16,  0.15,    -  *   -         |                   ,  0.06,  0.34, 0.00
 2,           exploit,25,  0.19,  0.16,   --   *  ----      |                   ,  0.05,  0.49, 3.49
#
 3,            random,20,  0.23,  0.09,     --   *          |                   ,  0.09,  0.32, 0.00
 3,           explore,25,  0.24,  0.13,    -     *---       |                   ,  0.05,  0.35, 4.07
#
 4,           explore,20,  0.25,  0.12,    ---    *--       |                   ,  0.00,  0.41, 3.72
 4,               rrp,10,  0.28,  0.10,   -------- *  ------|---                ,  0.05,  0.69, 1.41
#
 5,         baseline,500,  0.63,  0.22,            -------- |    *  ------      ,  0.00,  1.00, 0.00
