#
 0,           UCB_GPM,25,  0.19,  0.25, *           ----    |                   ,  0.19,  0.53, 317.89
 0,           UCB_GPM,30,  0.19,  0.24, *                   |                   ,  0.19,  0.53, 345.33
#
 1,           UCB_GPM,20,  0.44,  0.27,             *------ |                   ,  0.19,  0.59, 285.30
 1,       LLM/exploit,25,  0.44,  0.07,     ------  *       |                   ,  0.19,  0.48, 70.94
 1,       LLM/exploit,30,  0.44,  0.07,     ------  *       |                   ,  0.19,  0.48, 66.08
 1,    LINEAR/exploit,20,  0.44,  0.04,     ------  *-      |                   ,  0.19,  0.48, 9.68
 1,    LINEAR/exploit,30,  0.44,  0.03,     ------- *-      |                   ,  0.29,  0.53, 5.42
 1,            random,30,  0.45,  0.04,            -* ---   |                   ,  0.19,  0.61, 0.00
 1,    LINEAR/exploit,25,  0.45,  0.05,           --*       |                   ,  0.29,  0.48, 9.96
 1,           exploit,25,  0.45,  0.03,           --*------ |                   ,  0.29,  0.59, 3.56
#
 2,    LINEAR/explore,25,  0.45,  0.05,     --------* ----  |                   ,  0.19,  0.66, 9.74
 2,    LINEAR/explore,20,  0.45,  0.05,             *  -----|--                 ,  0.19,  0.72, 10.60
 2,            random,25,  0.46,  0.04,     -------- *----- |                   ,  0.19,  0.59, 0.00
 2,       LLM/exploit,20,  0.46,  0.07,     ------   *      |                   ,  0.29,  0.48, 66.01
 2,           exploit,30,  0.46,  0.08,     ------   * ---- |                   ,  0.19,  0.64, 4.27
 2,           exploit,20,  0.48,  0.07,            -  * --- |                   ,  0.29,  0.59, 4.40
 2,       LLM/explore,20,  0.48,  0.00,               *     |                   ,  0.41,  0.48, 70.40
 2,       LLM/explore,25,  0.48,  0.00,               *     |                   ,  0.46,  0.48, 68.59
 2,       LLM/explore,30,  0.48,  0.00,              -*     |                   ,  0.41,  0.67, 65.93
#
 3,               rrp,10,  0.52,  0.20,     --------    *   | ------            ,  0.19,  0.88, 1.33
 3,           explore,30,  0.53,  0.11,             --  *  -|-                  ,  0.44,  0.65, 3.24
 3,    LINEAR/explore,30,  0.53,  0.11,             -   *  -|                   ,  0.29,  0.62, 5.01
 3,           explore,25,  0.53,  0.12,            --   *  -|-                  ,  0.29,  0.80, 4.33
 3,           explore,20,  0.54,  0.11,             --   * -|-                  ,  0.41,  0.73, 4.06
 3,            random,20,  0.57,  0.16,             -     * |-----              ,  0.19,  0.72, 0.00
#
 4,         baseline,500,  0.76,  0.21,                   --|--     *    -------,  0.19,  1.00, 0.00
