#
 0,    LINEAR/exploit,20,  0.11,  0.01,  -*---              |                   ,  0.05,  0.23, 9.91
 0,       LLM/exploit,30,  0.11,  0.03,  -*---              |                   ,  0.05,  0.24, 64.99
 0,           exploit,20,  0.13,  0.07, -  *--              |                   ,  0.05,  0.20, 3.11
 0,       LLM/explore,20,  0.13,  0.07,    *--              |                   ,  0.05,  0.24, 67.60
 0,    LINEAR/exploit,25,  0.13,  0.05, -  *                |                   ,  0.05,  0.22, 10.17
 0,       LLM/explore,30,  0.13,  0.07,    *--              |                   ,  0.05,  0.33, 66.36
 0,           exploit,30,  0.13,  0.04,  - *--              |                   ,  0.05,  0.30, 3.88
 0,    LINEAR/exploit,30,  0.13,  0.04,  - *                |                   ,  0.08,  0.26, 6.98
 0,           exploit,25,  0.13,  0.06,  - * ---            |                   ,  0.05,  0.31, 4.20
 0,           explore,25,  0.14,  0.07, ---*                |                   ,  0.05,  0.27, 4.36
 0,       LLM/exploit,25,  0.14,  0.11,  - *   --           |                   ,  0.05,  0.34, 72.46
 0,       LLM/explore,25,  0.15,  0.06,   - *--             |                   ,  0.05,  0.29, 67.58
#
 1,    LINEAR/explore,25,  0.16,  0.05,  -- *--             |                   ,  0.05,  0.24, 9.60
 1,       LLM/exploit,20,  0.16,  0.07,   - * ---           |                   ,  0.11,  0.34, 70.74
 1,    LINEAR/explore,30,  0.16,  0.05,  -- *-              |                   ,  0.05,  0.21, 5.77
 1,           explore,20,  0.16,  0.06,   --* -             |                   ,  0.08,  0.28, 3.09
 1,           explore,30,  0.16,  0.05,   - *--             |                   ,  0.05,  0.27, 3.34
 1,            random,30,  0.16,  0.05,    -* --            |                   ,  0.11,  0.28, 0.00
 1,           UCB_GPM,20,  0.17,  0.03,     -*-             |                   ,  0.12,  0.24, 284.11
 1,            random,25,  0.17,  0.06,   -- *---           |                   ,  0.05,  0.34, 0.00
 1,           UCB_GPM,25,  0.17,  0.02,    --*              |                   ,  0.13,  0.23, 331.63
 1,    LINEAR/explore,20,  0.17,  0.06,   -  *--            |                   ,  0.05,  0.33, 9.03
 1,           UCB_GPM,30,  0.18,  0.03,     -*              |                   ,  0.12,  0.24, 336.28
 1,            random,20,  0.19,  0.05,   -- *---           |                   ,  0.08,  0.31, 0.00
#
 2,               rrp,10,  0.34,  0.31,    ---      *      -|-------            ,  0.09,  0.84, 1.88
#
 3,         baseline,500,  0.50,  0.31,       ------       *|    -------        ,  0.05,  1.00, 0.00
