#
 0,    LINEAR/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 23.90
 0,       LLM/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 42.37
 0,           exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2.75
 0,               rrp,13,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 7.36
 0,            random,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 303.19
 0,    LINEAR/explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 14.05
 0,        baseline,3840,  0.00,  0.00, *                   |                   ,  0.00,  0.06, 0.01
 0,       LLM/explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 37.48
 0,           explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2.52
